stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,0,76.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.73,192.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.96,0,12.1,0,0,21.48,0,0,0,0,0,0,0,110.92,0,0,20.45,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.23,0,0,12.47,0,0,0,0,0,0,0,145.12,0,0,16.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3.52,0,1.05,0,0,1.98,0,0,2.53,0.89,27.91,0,0,0,0,0,5.95,0,0.86,10.37,0,0,0
 24-34,0,0,0,0,0,0,1.64,0,0,0,0,0,3.83,1.83,40.86,0,0,0,0,0,0,0,1.24,4.78,0,0,0.65
 36-46,0,0,0,0,0.62,0,5.43,0,0,0,0,0,1.3,0,29.93,0,0,0,0,1.25,0,0,0,5.94,0,0,0.69
 48-58,0,0,0,0,0,0,12.76,0,0,0,0,0.53,3.58,0.43,31.15,0,1.71,0,0,0.97,0,0.73,0,3.19,0,0,0
 60-70,0,0,0.57,0,0,0,5.07,0.99,0,1.03,0,0,2.4,0,14.82,0.66,0,0,0,0,0,0,0,4.63,0,0,0.58
 72-82,0,0,0,0,1.03,0,12.77,0,1.15,6.71,0,0,4.57,0,15.01,0.98,0,0,0,0.5,0,0,0,6.16,0,0,1.51
 84-94,0,0,0,0,0.8,1.48,8.46,0,0,1.45,0,0,0.97,0,13.84,0,1.71,0,0,1.94,0,0,0,0,0,0.64,0
 96-106,0,0,0,0,0,0,7.34,0,0,1.35,0,0,5.13,0,9.96,0,0,0,1.3,1.18,0,0,0,1.95,0.82,0,1.04
108-118,0,0,0.76,0,0.75,0,4.5,0.52,0,7.46,0.96,1.35,7.19,1.92,18.97,0,0,0,0,1.02,0,0.43,0,0,0,0,0
120,0,0,0,0,1.16,0,15.01,0,0,3.44,0,0,7.07,0,21.04,0,0,0,0,0,0,0,0,0,0,0,0
