stage,eye,fast.muscle,liver,mesenchyme,neural,spinal.cord
 36-46,0,1.18,0,0,0,14.11
 48-58,0,0,0,0.37,4.96,0
 60-70,0.89,0,0,0,1.32,0.86
 72-82,0,0,0,0,1.76,0.56
 96-106,0.6,0,0,2.26,0,0
108-118,0,0,1.66,0,0,0
