stage,eye,glial,immune,ionocyte,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,xanthophores
  7-9,0,0,0,0,0,0,9.98,0,3.56,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,12.02,0,0,0,0,0,0,0,0
 14-21,2.71,0,0,1.26,1.14,0,6.76,0,0,0,2.42,0,1.36,0,0
 24-34,0,0,0,0,0,0.68,2.04,0,0,1.12,0,0,0,1.08,0
 36-46,0,0.63,0,0,0,0,1.88,0,0,0,0,0,0,0,1.22
 48-58,0,0,0,0,0,0,1.45,0,0,0,0,0,0,2.05,0
 60-70,7.92,0,0,0,0,0,2.36,0,0,0,0,0,0,3.59,0
 72-82,0,0,0.72,0,0.59,0,0,0.88,0,0,0,0,0,0,0
 84-94,1.6,0,0,0,0,0.68,0,0,0,0,0,0,0,0,0
 96-106,1.4,2.28,0,0,0,0,0,0,0,3.57,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0.43,0,0,0
120,0,0,0,1.94,0,0,0,0,0,0,0,0,0,0,0
