stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.67,275.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,388.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.22,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,8.46,0,0,0,16.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.68,0,0,0,28.9,0,0,4.57,0,0,0,0,0,0,0,0,0
 10-12,0,22.95,0,13.63,0,0,0,7.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.7,5.7,0,0,27.65,0,0,8.35,0,3.51,0,0,0,0,0,0,0
 14-21,0,0,0.82,0,4.49,5.8,0,1.42,0,0,0,2.63,0,0,0,0,45.8,0,2.49,0,0,2.08,52.37,0.89,0,0,0,0,0,1.26,13.25,0,0.84,4.6,9.33,0,5.47,0,0
 24-34,0,0,2.52,0,0,0.71,0,2.36,0,0,4.34,0,0,0,0,0,9.93,0,7.35,0.7,0,4.52,55.46,0,1.29,4.11,0,0,0,0,0,0,0,0.64,27.21,0,15.6,0,0
 36-46,0,0,0,0,0,0.63,0,4.79,0,0,12.54,0,0,0,0,11.04,13.02,28.92,10.67,0,0.56,1.51,44.12,0,1.14,0,0,0,0,0,0,0,0,0,4.92,0,0,0,0
 48-58,0,0,0,0,0.77,7.21,0,9.33,0,0.73,28.55,0,1.08,0,0,34.76,1.73,16.57,14.04,0,3.86,0.95,43.95,0,0,0,0,0,0,0,0,0,0,0,13.78,1.37,1.53,0,0
 60-70,0,0,0,0,0,0,0,15.91,0,0.81,31.23,2.75,0,0,0,118.09,0,20.94,21.22,0,8.26,2.54,30.15,0,0,0,0,0,0,0,0,0,0,0,4.86,1.71,0,5.68,6.79
 72-82,0,0,3.44,0,0.88,6.25,0,19.68,0.95,1.84,44.74,7.26,0,0.49,0,121.44,0,18.46,36.95,0,15.82,2.16,48.55,0,1.62,0,0,1.4,4.2,0,0,0,0,0,3.26,6.77,0,25.68,13.04
 84-94,0,0,4.28,0,3.59,14.57,0,23.18,0,0,72.61,10.95,0,0,0,135.34,0,75.56,28.88,0,15.86,0,8.96,0,1.96,0,0,0.6,0,0,0,0,0,0,2.41,5.82,0,57.4,15.96
 96-106,0,0,4.91,0,6.84,14.38,0,6.54,0,1.01,48.04,16.05,0,9.19,0,119.23,2.29,12.76,47.28,0,12.79,2.13,34.58,2.34,8.03,0,0,0,0.6,0,0,0,0,0,1.39,1.16,2.81,34.53,8.92
108-118,0,0,2.39,0,5.16,3.7,0.45,35.19,0,0,70.79,19.47,0,10.91,2.24,223.55,2.53,35.1,22.93,0,15.49,1.51,24.57,0,4.38,0,0,2.52,0,0,0,0,0,0,0,4.46,0,33.65,61.94
120,1.19,0,0,0,10.22,8.42,0,21.83,0,0,48.64,23.74,0,6.19,2.11,122.47,0,8.65,64.5,0,28.64,6.31,18.11,0,0,0,0,0,0,0,0,0,0,0,0,13.77,0,69.92,9.42
