stage,epidermis,eye,glial,neural
 48-58,0,0,0,1.9
 60-70,0,13.72,0,11.72
 72-82,0,26.76,0,6.92
 84-94,0.67,27.47,0.89,2.87
 96-106,0,10.66,0,4.17
108-118,0,23.34,0,4.52
120,0,27.58,0,0
