stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,immune,lateral_line,liver,mesenchyme,muscle,neural,otic,pericytes,periderm,pronephros,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,16.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,12.19,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,19.35,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,5.4,0,0,0,0,1.13,0,0,0,0,0,0.87,0
 24-34,0,0,0.83,0,0,0,0,0,17.68,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,15.26,0,0,0.61,0,1.7,0,0,0,0,0,4.57,0
 48-58,0,0,0,0,0.91,0.41,0,0,21.99,0,0,0.8,0,4.38,0,0,0,0,0,8.7,0
 60-70,0,0,0,0,0,0,0,0,18.44,0,0,0,0,2.3,0,0,0,0,0.65,15.05,0.83
 72-82,0,0.59,4.81,0,0,0,0,0,43.92,0.6,0,0,0,5.24,0.51,0,0,2,1.84,8.37,0
 84-94,0,0,3.92,0,0,0,0,0,53.29,0,0,0,0,0,0,0,0,0,0,11.66,0
 96-106,0,0,0,1,0,0,1.43,0,75.49,0,0.63,0,0,3.31,0,2.17,0,0,0,10.11,1.31
108-118,0,0.96,0.42,0.45,0,0,0,2.85,69.55,0,0,5.53,0,6.38,0,0,1.38,0.78,0,10.65,0
120,0,1.33,0,0,0,0,0,0,207.77,0,0,0,7.55,6.11,1.02,1.79,0,0,0,24.74,0
