stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,135.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.85,180.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.98,0,0,0,14.52,0,0,0,0,0,0
  7-9,6.22,0,9.07,0,23.08,0,0,0,0,4.63,0,0,0,0,0,0,0,0,0,162.02,0,0,64.8,0,0,0,0,0,0,0
 10-12,0,0,0,0,24.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.8,5.15,0,22.34,0,0,0,0,0,0,0
 14-21,0,0,0,2.87,4.11,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,42.12,7.27,0,0,0,1.88,0,10.19,0,0,0
 24-34,0,0,0,0.61,1.52,0,0,0,0,0,0,0.59,0,0,0,8.38,0.93,0,0.74,47.47,0,0,0,0.99,0,0,12.61,3.07,0,0
 36-46,0,0,0,0,3.12,0,0,0,0,0,0,0,0,0,0,8.31,0,0,0,80.03,0.71,0,0,1.31,0,0,12.78,0.71,0,0
 48-58,0,0,0,5.04,19.22,0,0,1.21,0.43,0,0,0,0,0,0,7.44,0,0,0,46.05,0,0,0,0.45,0,0,11.39,0,0,1.24
 60-70,0,0,0,0,31.95,1.2,8.4,3.39,0,0,0,0,0,0,0,2.73,0,0,0.8,111.95,0,0,0,0,0,1.12,11.4,0.68,0,0
 72-82,0,0,0,2.18,18.05,0,0,1.27,0,0,0,0,0,0,0,9.16,0,0.89,1.09,59.62,0,0,0,0,0,0,6.79,2.17,0,0
 84-94,0,0,0,12.29,31.44,0,0,4.05,0,0.71,0,0,0.96,0,0,0.73,0,0,0.65,36.41,0,0.64,0,0,0,0,10.45,0,1.25,0
 96-106,0,0,0,0,23.14,0,0.82,0.88,0,0,0,0.91,0.61,0.82,0,5.14,0,0.59,0,46.69,0,1.98,0,3.76,0,0,0,0,0,0
108-118,0,0,0,0,22.13,0,0,7.29,0,0,0,0.81,0,0,0.5,2.63,0,0,0.42,49.61,0,1.35,0,0,0,0,0,0,0.69,0.91
120,0,0,0,0,14.22,0,0,4.23,1.42,0,1.54,4.02,0,0,0,7.18,0,0,3.41,79.86,0,0,0,1.05,0,1.74,0,1.35,0,0
