stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.67,222.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.82,0,0,0,0,0,0,0,0,0
  5-6,0,183.96,0,0,0,0,0,0,0,0,0,0,12.54,0,0,0,0,0,0,0,12.16,0,0,0,0,7.65,0,0,0,0,0,0,0,0,0
  7-9,4.28,0,0,11.84,0,0,0,38.38,0,0,0,0,10.53,0,0,0,0,0,0,0,199.74,0,0,0,89.76,3.78,0,0,0,0,0,0,0,0,0
 10-12,0,9.54,0,64.89,0,11.05,0,10.23,0,0,0,0,0,0,0,0,0,0,0,0,242.17,0,0,0,57.43,0,12.01,4.19,0,0,0,0,0,0,0
 14-21,0,0,0,0,4.6,1.64,0,0.83,0,0,0,0,0,0,0,0,0,2.54,0,1.9,17.57,0,0,0,0,16.74,0,1.83,0,2.65,6.43,0,0,0,0
 24-34,0,0,0,2.21,0.62,0,0,4.81,0.83,0,0,0,0,0,0,0,0,3.33,0,1.96,56.03,8.02,0,3.97,0,2.83,0,0,0.6,0,13.7,0,0,1.44,0
 36-46,0,0,0,0,4.08,0,0,5.4,0,0.6,0,0,0,0,0,0,0,3.1,0,0.63,68.08,0,2.51,0.58,0,14.17,0,0,0.7,0,2.7,0,0,0,0
 48-58,0,0,0,0,2.96,0,0,6.19,0,0,0,0.56,0.37,0,0.38,0.65,0,0.88,0,0,8.59,0,0.86,2.7,0,4.31,0,0,0,0,0.54,0,0,0.66,0
 60-70,0,0,0,0,1.83,0,0,3.4,0,0,0.67,0,1.21,0.65,3.74,0,0,4.73,0,1.13,1.46,0,0,0,0,9.19,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,2.39,0,0,13.05,0,2.17,1.46,2.3,0,0,0,2.87,0,4.48,3.26,0,15.01,0,0.67,4.32,0,2.16,0,0,0,0,0,0,0.75,0,0
 84-94,0,0,1.53,0,1.74,0,0,7.85,7.37,0,1.02,4,0,0.56,0.56,0,0,1.47,0,0.97,3.48,0,0.7,5.39,0,9.42,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,2.09,0,0,3.69,0,0,1.16,0,0,3.07,0,0,0,5.18,0,0,14.89,0,0,1.27,0,4.24,0,0,0,0,0,1.01,0,4.14,9.18
108-118,0,0,0.57,0,10.54,0,1.62,13.5,0,0,2.68,7.68,0,4.65,0,0,0,2.71,0,0,12.16,0,0,1.34,0,0,0,0,0.47,0,0,0,0,0,0
120,0,0,0,0,19.82,0,0,0,0,0,10.09,7.63,0,0,2.21,0,1.37,0,0,0,15.11,0,1.32,1.28,0,1.22,0,0,0,0,0,2.06,0,0,0
