stage,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,55.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,54.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.25,0,0,9.21,0,0,0,0,0,0,0,0,0,0,0,55.15,5.33,0,13.62,0,0,0,0,0,0,0,0
 10-12,0,14.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.54,0,0,13.12,0,0,0,0,0,0,0,0
 14-21,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,3.07,0.83,0,0,0,0,0.94,2.23,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,0,0,3.57,0,0,8.92,0,0,0,0,0.77,0,2.76,0,0,0,0
 36-46,0,0,0,0,0.58,0,0,0,0,0,0,0,0,1.44,0,0.72,17.14,0,0,0,0,0,0,4.44,0,4.02,0,0
 48-58,0,0,3.77,0,1.81,0,0.37,0,2.77,0,5.13,6.91,0,13.44,0,0.42,23.71,0,0,0,0,6.22,0,5.45,0,0.61,0,0
 60-70,0,0,5.57,0,5.59,0,0,0,1.57,0,0,0,0,10.47,0,0,25.12,0,1.03,0,0,2.86,0.62,0,0,5.78,0,0
 72-82,0,0,0.5,0,6.24,0.53,0,0,5.77,0,0,0,0,19.48,5.72,0,35.75,0,0,0,0,3.66,0,3.59,3.02,7.97,1.39,0
 84-94,0,0,2.68,0,18.23,0,0,0,0,0,0,0,9.11,11.69,3.46,0,18.33,0,0.89,0,0,15,0,1.33,2.07,20.98,0,0
 96-106,0,0,0,0,8.15,0,0,0,0,0,0,0,0,3.4,3.47,2.11,17.05,0,1.12,0,4.26,1,0,2.65,0,6.43,0,0
108-118,0,0,0,0.57,11.83,0,0,4.83,0,0,0,0,0,10.64,0,0.48,25.09,0,0,0,1.35,2.81,0,0,0,6.14,0,6.5
120,0,0,0,0,21.97,0,2.51,0,0,0,1.85,0,0,34.59,13.09,1.9,44.49,0,0,0,0,1.45,0,0,5.4,4.69,0,0
