stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,122.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0,0,0,0
  5-6,46.32,572.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,6.17,0,7.54,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.26,4.8,0,0,7.84,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.56,0,0,3.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.16,0,0,0,0,0,0,5.47,6.6,0,0,0,0,0,0,0
 14-21,0,0,13.51,0,6.15,5.42,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,10.79,0,0,3.77,100.55,0.95,7.07,0,0,0,0,0,0,0,79.19,0,0,0,0,0
 24-34,0,0,11.73,0,2,0,11.97,0,0,0,4.51,0,0,0,0,4.93,0,0,0,2.18,12.2,0,0,3.24,721.14,1.43,69.77,3.36,0,0,0,0,0,0,339.01,0,0,2.03,0,0
 36-46,0,0,3.96,0,3.48,0,155.05,1.4,0,0,5.72,0,0,0,0,8.29,0,0,0,0,7.61,0,0,1.78,2227.07,0,75.49,0,0,0,5.36,0,0,0,486.03,0,0,5.06,0,0
 48-58,0,0,2.98,0,8.06,0,457.69,0,0,0,26.92,0,0,0,0,11.6,0,0,0.86,0,13.42,0.7,0,1.39,3028.09,0,65.1,0,0,0,4.89,0,0,0,394.71,0,0,1.84,0,3.18
 60-70,0,0,1.76,0,3.08,0,1796.06,6,0,0,69.85,0,2.2,0,0,9.85,0,0,7.78,0,11.78,0,0,0,3839.37,0,71.3,5.64,0,1.13,3.65,0,1.08,0,437.05,0.81,0,3.32,1.33,13.29
 72-82,0,0,4.57,0,20.81,5.72,1274.01,0,0,1.72,76.42,0.72,0,0.68,0,14.6,0,2.89,0,0,23.6,0,0,3.82,3470.39,0,67.38,0.65,0,0,5.28,0,0,1.05,244.22,2.78,2.14,4.12,1.12,12.41
 84-94,0,0,1.84,0,24.56,0,913.87,1.34,1.39,1.54,55.28,7.23,0,0,0.65,12.91,10.61,0,2.15,5.31,42.34,0,5.15,2.43,2332.09,0.76,82.93,10,0,0,8.98,0,0,0,172.88,3.23,1.26,10.51,0,0
 96-106,0,0,6.69,0,21.38,1.98,890.27,0,0,0.64,53.42,5.29,0,0,0.65,16.56,1.63,5.55,24.35,0,30.68,0,0,0,1824.22,0,68.66,3.08,0,0,14.4,0,0,0,62.58,13.1,0,3.08,1.13,6.71
108-118,0,0,7.99,0,13.75,8.21,752.61,0,0,0.73,45.17,1.65,0,0,2.23,30.72,0,0,14.03,0,19.3,0.44,2.32,0,2079.69,0,75.49,4.78,0,0,4.84,0,0.73,0,90.37,28,2,3.31,0,5.27
120,0,0,1.73,0,12.86,8.6,671.57,0,5.78,1.82,83.34,3.22,0,0,0,11.36,0,1.88,17.97,0,69.3,0,2.21,8.31,3243.31,0,99.47,7.42,0,0,0,0,2.39,0,155.34,4.29,0,0,0,0
