stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  5-6,8.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.62,0,0,0,0,0,0,12.11,0,0,0,0,0
 14-21,0,0,8.45,0,0,2.25,0,0,0,0,0,0,0,4.02,0,0,0,0,0,7.21,1.88,0,0,0,0,0,2.88,0.94,8.24,0,0,0,0
 24-34,0,0,2.34,0,0,186.71,0,0,0,0,0,0,0.67,0,0,0,0,0,0,0.99,11.26,0,0,0,0,0,0,0,0,1.09,0,0,0
 36-46,0,1.03,2.35,0,0,2293.31,0,0,0,0,0,0,1.27,0.56,0,0,6.76,5.24,0,2.36,124.73,0,0,0,0,1.64,0,5.98,0,14.07,0,0,0
 48-58,0,0.99,9.45,0,0,3932.46,0,3.49,0.63,30.03,0,0.54,1.78,0,7.1,0,1.16,6.07,0.87,3.53,323.41,0,0,1.08,0.64,1.64,0,0.47,0,19.85,0,1.81,0
 60-70,0,0,7.45,4.83,0,4157.11,0,2.89,0.68,0.77,0,0,12.23,0,0,0,0,3.38,0,2.72,208.92,0,0,0,0,2.68,0,0,0,3.32,0,2.17,0
 72-82,0,0,11.63,4.3,0,1868.95,0.55,0,4.56,17.52,0,1.87,6.11,5.69,0,0.49,0,1.35,0,0,68.67,0,0,0.71,0,0,0,0,0,0,0,8.05,0
 84-94,0,0,13.99,0,0,1401.31,0,1.22,0,17.49,3.48,0,5.37,3.26,0.7,1.05,0,4.67,3,0.87,75.85,0,0.78,0,0,1.9,0,0,0,8.28,0,0.62,0
 96-106,0,0,14.19,0,0.6,772.27,0,0,0,2.62,0,1.22,9.12,4.93,0,0,0,1.79,0,0,46.52,0,2.54,0,0,0.91,0,0.6,0,0,1.01,4.95,0
108-118,0,0,22.97,2.74,3.16,623.32,0,2.63,0,1.03,2.36,0,8.24,5.4,0,0,2.19,4.07,0,0.5,88.94,0,0.6,2.29,0,6.64,0,0,0,1.79,1.19,6.88,2.22
120,0,0,24.99,0,0,512.3,0,0,0,16.34,1.92,0,10.93,5.09,0,0,0,5.64,0,0,64.82,1.1,0,0,0,1,0,0,0,0,0,3.07,0
