stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,ionocyte,iridophores,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,slow.muscle,somites,vascular.smooth.muscle,visceral.smooth.muscle
  3-4,15.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.2,0,0,0,0,0,0,0,0,0
 10-12,0,4.26,0,0,0,0,0,0,0,0,0,0,0,0,0,136.64,0,0,3.4,0,7.99,0,0,0,0
 14-21,0,0,9.27,0.88,0,0,0,0,0,0,0,0,0,0,0,2.41,0,0,0,0,4.03,0,0.89,0,0
 24-34,0,0,0.74,0,0,7.68,0,0,0,2.69,0,0,0,0,0,1.55,0,0,0,0,0,0,0,0,0
 36-46,0,0,2.72,0,0,2.18,0,0,0,0,0,0,0.73,0,0,4.42,0,0,0,0,0,0.57,0,0,0
 48-58,0,0,5.16,0,1.16,1.24,0,0,1.28,0,0,0,0,0,0.49,0,0,0,0,0,0,0,0,0.79,0
 60-70,0,0,1.82,0,6.28,3.06,0,0,0,3.48,0,9.02,0,0,0.59,0.82,0,0,0,1.13,0,1.12,0,5.18,0
 72-82,0,0,2.82,0,0,1.96,0.63,0,0,0,0,43.33,0,0,0.93,0,0,1.14,0,0,0,0.96,0,3.08,1.49
 84-94,0,0,1.41,0,0,1.72,0,0,0,0,0,40.46,0,0,0,4.27,1.16,0,0,0,0,1.16,0,1.15,0
 96-106,0,0,3.24,0,0.67,0,0,0,0,0,0,64.03,0,0,0,0,1.32,0,0,0,0,0,0,2.96,0
108-118,0,0,6.67,0,0,0.58,0,0.97,0,0,1.92,112.55,0,0,0.44,4.22,0,0,0,0,0.96,0,0,1.5,6.01
120,0,0,0,0,7.54,0,0,0,0,0,0,79.84,0,11.82,0,0,5.91,0,0,0,0,0,0,0,0
