stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0.91,4.63,2.3,0,0.8,0,0,0,4.11,0.98,0,0,0,0,0,7.76,0,0,7,175.02,1.65,4.07,0,0.83,0,0,1.94,0.89,3.98,8.79,28.18,0,1.09,0,0
 24-34,0.76,0,0.67,0,1.58,0.72,0,0,1.66,0,0,0,0,0,0,10.97,0,0,11.52,174.58,0,36.75,0,0,0,6,0,0,0,1.03,23.56,0,7.74,0,1.72
 36-46,0,0,0,0,5.46,0,0,0,2.33,0,0,0,0,0,0,25.18,0,0,6.91,301.08,0.56,38.96,0,0,0.97,0,0,0,0,0,26.45,0,0,0,2.01
 48-58,0,3.34,1.58,0,14.54,0,0,4.18,1.79,0,0,0,0,0,0,44.27,0,0,6.64,323.46,0,27.23,0,0,0,0,0,0,2.26,0,26.62,0,2.71,0,6.3
 60-70,0,0,0,0,41.77,2.93,0,1.06,0,0,0,0,0,2.4,0,44.74,0,0,3.73,360.37,0,34.63,1.34,0,0,0,0,0,0,0,41.04,0,3.56,0,0
 72-82,0,5.58,0,0,80.4,0.51,0,6.8,9.61,0,0,0,4.06,0,0,82.79,0,0,23.49,450.12,0,45.99,7.52,0,0,0.58,0,0,0,0,40.43,0.61,8.28,0.57,9.67
 84-94,0,1.42,0,0,71.54,0.69,0,2.31,5.71,0,0.56,0,1.16,0,0.85,74.69,0,0,8.7,345.04,0,35.34,7.93,0,0,0,0,0,0,0,27.25,1.31,11.03,1.13,2.74
 96-106,0,4.28,0,0,84.44,0,0,1.65,17.88,0.59,0.91,4.84,0.58,0,0,47.27,3.31,0.63,10.72,313.92,0,55.65,7.8,0,0,0.95,0,0,0,0,21.16,0,12.83,0,0.79
108-118,0,2.41,0,0.59,84.17,1.11,0.42,0.73,27.23,0,2.97,2.91,0.52,0,0.53,52.73,0,0,5.66,409.86,0,38.5,7.64,0,0,2.07,0,0.67,0,0,6.99,2.27,6.33,0,3.81
120,0,0,1.38,0,137.34,5.8,0,0,6.74,0,8.99,0,5.02,0,0,115.29,0,0,0,402.49,0,57.31,4.12,0,0,0,0,0,0,0,21.55,0,11.36,0,0
