stage,blastomeres,epidermis,erythrocytes,eye,gut,immune,mesenchyme,muscle,neural,spinal.cord,taste,vascular.smooth.muscle
  3-4,10.3,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.92,0.94,0,0,0,6.62,1.82,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,3.59,0,0
 36-46,0,2.5,0,0,0,0,1.09,0.72,0,0,0,0
 48-58,0,0,0,0.68,0,0,1.11,0,7.32,1.08,0,0
 60-70,0,0,0,0,0,0,0.96,0,2.69,0,0,0
 72-82,0,9.79,0,0,0,0.54,1.34,0,6.2,0,0.69,0.51
 84-94,0,1.06,0,5.07,0,0,2,0,7.18,0,0,0
 96-106,0,14.28,0,0,3.24,0,2.72,0,12.23,0,0,0
108-118,0,5.39,0,0,1.61,0,29.39,0,4.7,0,0,0
120,0,26.56,0,0,0,2.03,13.76,0,0,0,0,21.97
