stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,85.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.77,81.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.52,0,0,0,12.06,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.74,0,0,0,17.39,0,0,3.68,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1.53,0,0,0,0,0,0,0,0,3.56,0,0,0,0,0.88,0,0,0,8.98,0,0,0,0,0,0,0,8.97,0,0,0,0,0
 24-34,0,0,0,2.78,0,0,5.15,0,0,0,3.74,0,6.33,0,0,3.28,0,1.23,1.3,0,1.01,0,0,1.4,297.01,0,14.63,28.56,0,0,7.34,0,129.27,0,0,0,0,0
 36-46,0,0,0,0.63,0,0,9.81,0,0,0,1.47,0,0,0,0,14.2,0,0,0,0,18.65,0,0,2.88,661.8,0,22.59,289.74,0,0,1.16,0,385.52,0,0,0,0,0
 48-58,0,0,0,5.36,4.71,0,43.59,0,0.39,1.45,3.18,0,0,1.16,0.37,3.22,0.39,3.58,0,0.48,53.88,0,0.56,6.49,885.77,0,12.19,278.8,0,0.53,9.05,4.59,544.22,0,0,4.58,0,16.2
 60-70,0,0,0.89,5.02,0,0,119.25,0,8.05,0,11.86,0,0,0.59,4.4,9.87,0,0,0,9.3,67.32,0,1.7,0,1367.64,2.32,3.15,237.6,0,0,16.62,7.12,500.69,0,4.58,0,0,1.9
 72-82,0,0,1.37,8.97,0,0,251.94,0,0,5.69,49.82,0,0,0.68,0,3.58,0,20.45,6.13,0,75.67,0,0,1.95,1482.89,0,16.75,406.74,0,0,7.64,0,506.01,0,3.22,0.93,0.62,0
 84-94,0,0,1.84,7.45,5.27,0,244.39,1.17,0,0,49.72,0,0,1.27,0,7.69,2.74,9.19,0,0,34.86,0,0,3.54,1055.04,0,11.81,630.47,0,0,18.82,0,122.53,0,6.1,2.42,0,11.2
 96-106,0,0,1.1,10.76,5.69,0,440.7,0,0,7.74,74.02,5.14,0,0,0.66,2.88,0,47.35,4.29,0,60.58,1.04,0,2.64,927.77,0,8.77,422.94,0,3.88,26.86,0,82.18,1.14,3.33,3.5,3.69,2.53
108-118,0,0,0,17.49,1.69,0,339.33,0,0.43,2.02,72.99,5.35,0,0,2.15,1.44,0.66,20.08,0,0,46.56,0,0,0,1358.81,0,0.7,358.31,0,0,22.5,0,76.51,0,1.53,0,1.48,6.54
120,0,0,0,34.91,9.68,2.02,422.93,0,2.41,0,160.22,1.79,0,0,0,1.36,0,23.78,13.21,0,71.98,0,12.61,16.51,2387.45,0,16.65,501.21,0,0,4.73,0,164.61,0,1.54,0,0,0
