stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,109.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,26.33,15.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.04,7.86,0,0,20.03,0,4.16,0,0,0,0,0,0,0,0,0,0
 10-12,0,10.05,0,73.14,0,0,0,6.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.11,39.07,0,0,21.12,0,6.59,0,4.76,6.08,0,0,0,0,0,0,0
 14-21,0,0,0,6.65,63.15,0,0,18.02,0,0,8.95,7.71,1.95,0,0,0,0,0,0,55.82,0,0,20.57,128.58,11.4,0,5.26,3.5,0,23.88,0.9,2.12,0,3.21,145.82,0,0,0,0,0
 24-34,0.88,0,1.1,7.27,21.95,0,0,33.01,0,0,3.79,7.07,0,5.69,0,0,0.6,0,4.28,86.75,1.66,1.63,43.9,137.65,7.69,0,1.36,0,0,6.49,0,0,0,2.49,83.61,0,0,3.92,0,1.32
 36-46,0,0,0,0.56,12.7,2.92,0,14.98,0,2.34,6.42,0,0,11.05,0,0,0,0.8,0,94.37,1.08,11.94,11.27,88.82,0,0,2.15,0,2.1,2.98,0,0,0,0,46.59,0,0,0,0,0
 48-58,0,0,0,0,1.65,0,0,21.18,0,1.22,6.47,0,0,5.59,0,0,0,0,0.78,42.13,0,2.54,1.66,48.82,2.54,0,1.41,0,0.55,0,0,0,5.13,0,26.67,0,0.85,2.67,0,2.43
 60-70,0,0,0,0,0,0,0,2.92,0,0,27.17,0,0,0,0,4.57,0,0,0,31.82,0,2.57,0,41.96,0,0,0,0,0,0,0,0,0,0,5.64,0,0.59,0,0,1.47
 72-82,0,0,0,0,0,0,1.04,6.6,0,0.55,95.8,0,0,1.72,0,4.27,0.99,0,0,37.11,0,2.51,0,56.19,0,0,4.01,0,0,1.41,0,0,0,0,14.65,0,1.33,0,0,0
 84-94,0,0,0,0,7.12,0,0.71,19.13,0,2.07,117.27,0.64,0,0,0,0,0,0,0,63.46,0,5.24,1.77,69.56,0,0,1.93,0,0,2.67,0,0,0,0,15,0,0,1.73,0.77,0
 96-106,0,0,0,0,2.28,0,0,14.21,0.57,0,229.28,1.44,0,3.31,4.05,1.46,0,0,0,39.54,0,5.4,2.27,69.47,0,1.9,5.41,0,0,0,0,0,0,0,27.56,1.44,0.8,0,3.45,0
108-118,0,0,0,0,1.95,0,1.75,37.55,2.57,5.67,262.58,1.58,0,0.8,0,0,0,0,0,69.7,0,0,6.86,59.72,0,0,0.96,0,0,0.43,0,0,0.5,0,11.79,0,0,0.5,1.19,0
120,0,0,0,0,1.11,0,0,20.38,0,18.73,286.1,0,0,0,0,0,0,0,0,25.98,1.46,0,3.67,64.19,0,0,11.33,0,0,0,0,0,1.75,0,0,0,0,0,1.8,0
