stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,27.89,318.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.48,0,0,0,0,0,0,0
  5-6,14.33,432.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.71,0,0,0,0,0,0,0,0
  7-9,10.45,9.13,8.03,0,0,20.51,0,0,0,18.79,0,0,0,0,0,0,0,290.65,20.38,0,0,34.69,0,0,0,0,0,0,0,0
 10-12,0,22.15,7.5,0,0,37.82,0,0,0,0,0,0,0,0,0,0,0,141.87,8.4,0,0,50.8,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.65,4.56,3.07,0,3.87,0,0,0,0,0,0,4.07,0,7.42,67.36,5.72,0,1.4,0.88,0,10.66,1.17,7.49,15.49,0,0,0
 24-34,0,0,0,1.38,0,9.87,0,0.91,0,0,0,0,0,0,1.43,0,5.08,82.29,0,0.83,0,0,0.97,0,0,0,26.5,0,0.62,0
 36-46,0,0,0,0,0,10.77,0,2.86,0,0,0,0,0,0,11.49,1.73,1.15,48.43,0,1.77,0,0,0,0,0,0,9.26,0,3.73,0
 48-58,0,0,0,0,0,17.67,0.81,3.16,0,0,0,0,0.5,0,8.34,0.6,1.12,29.36,0,0,0.76,0,0,0,0,0,7.28,0,0,0
 60-70,0,0,0,0,0,5.75,0.59,4.59,0,0,0,0,0,0,3.53,0,2.53,20.74,0,0,0,0,0.6,0,0,0,2.01,0,1.6,0
 72-82,0,0,0,0,0,6.49,0,3.45,0,0,1.72,0,0,0.82,6.88,0,0.51,12.23,0,0,4.89,0,0,0,0,0,5.16,0.78,3.31,0
 84-94,0,0,0,1.23,0,1.07,0,0.99,0,0,0,0,0,0,4.48,0,0,8.65,0,0,0,0,0,0,0,0,3.34,0,1.11,0.98
 96-106,0,0,0,0,0,10.94,0,2.86,0,0,0,0,0,0,3.76,0,0,0,0,0.81,0.57,0,1.42,0,0.58,0,0,0,0,0
108-118,0,0,0,0.5,2.72,1.02,0,3.22,0.48,0,0,0.58,0,0,2.74,0,0,3.97,0,0,0.52,0,0.43,0,0,0,0,0,0.94,0
120,0,0,0,1.45,0,4.34,0,1.98,0,0,0,0,0,0,5.64,0,0,13.94,0,0,0,0,0,0,0,0,0,0,0,0
