stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,69.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.56,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.89,0,0,0,74.99,0,0,0,0,0,0,0,0,0,0,0
 10-12,15.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290.21,0,0,0,32.64,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.14,0,0.84,0,0,1.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.65,0,1.74,0,1.09,1.61,1.71,2.02,0,0,85.73,0,0,0,0,0
 24-34,0,0,0,0,0,0,5.77,0,0,0,0.63,0,0,0,0,0,0,0,1.37,0.85,0,0,0,667.89,0,17.17,0,0,0,0,0,0.66,0.94,178.19,0,0,0,0,0
 36-46,0,1.35,0,0,0,0,23.72,0,0,0,0.68,0,0.56,0,0,0,0.57,0,0,0,0,0,1.69,1256.53,0,24.24,0,0,4.3,0,6.03,0,0,264.76,0,0,0,0,0
 48-58,0,0,0.43,1.75,0,0,71.96,0,0,0.97,8.91,0,0,0,0,0,0,0,0.6,9.72,0.56,0,0,1918.92,0.93,18.56,1.63,0,1.4,0,15.12,0,0,239.56,0,0,0.55,0,9.43
 60-70,0,0,0,1.15,0,0,105.67,0,4.47,1.18,9.62,0,0,0,0,0,2.72,4.39,0,8.18,0,0.75,1.1,2463.08,0,23.22,0,0,0,0,34.31,0,0,223.45,0,0,0,0,6.22
 72-82,0,0,0,4.29,5.75,0,309.78,0,0,0,26.66,0.7,0,1.26,0,0,0,0,0,27.05,0,0,3.94,2832.04,0,28.06,1.64,0,7.68,0,0.57,0,0,244.52,0,0,13.17,0.94,16.19
 84-94,0,0,0,12.17,0.84,0,219.99,0,16.16,0,40.16,0,1.72,0,1.53,9.96,0,2.93,0,14.72,1.6,0,1.59,1861.86,0,43.14,14.24,0,5.65,0,5.52,0,0,155.62,0,3.85,0.97,0,0
 96-106,0,2.57,0,18.11,9.34,0,212.29,0.71,0,0,35.41,0.69,0,0,0.61,1.03,0,3.08,0,27.26,0,0,4.59,1751.86,2.3,37.47,3.1,0,3.99,0,2.1,0,0,90.56,1.68,1.15,2.75,0,11.38
108-118,0,0,0,16.29,1.14,0.78,251.54,0,0,0,37.05,0.87,0,0.72,0,0,0,0,0,12.19,0,0,2.12,2796.76,0,23.26,1.57,0,0.42,0,2.34,0,0,80.72,0.68,0,0.75,0,0.83
120,0,0,0,6.64,29.86,0,352.52,0,0,0,78.97,2.62,0,16.82,0,10.2,0,0,0,11.1,0,2.13,3,3849.07,6.6,35.76,1.02,0,1.03,0,0,0,0,151.68,0,1.52,0,0,0
