stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,114.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.49,0,0,0,0,0,0,0,0,0,0
  7-9,9.16,0,0,0,0,0,49.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.09,0,0,110.49,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.17,0,0,0,13.91,0,0,0,0,0,3.61,0,0,0,0,0,0,0,0,0,0,113.92,0,0,10.87,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,8.12,11.43,0,1.07,0,0,0,0,0,1.8,0,0,0,0,0,0,0,1.76,0,0,29.53,0.96,4.45,0,0,3.37,3.16,0,0,3.2,6.36,0,0,0,0,0
 24-34,0,0,0,2.72,0,0,4.12,0,1.61,0,2.94,0,0,0,0,0,0,0,0,0,4.18,0,4.83,78.86,8.51,0,0,0,2.16,0,0,2.41,0,12.35,0,0,2.54,0,0
 36-46,0,0,0,4.96,1.12,0,3.91,1.69,0,0,2.78,0,0,0,0,0,0,0,0.67,0,37.41,0,4.71,344.71,1.15,0,0,0,1.76,0,0,0,0,14.56,0,0,0.74,0,0
 48-58,0,0,0,0,0,0,34.37,0,2.68,0.88,5.6,0,0,0,0,0,0,0,0.86,0,49.93,0.47,15.77,653.23,1.71,0.74,0,0,0,0,1.36,1.28,0,19.13,0,0,2.26,0,0
 60-70,0,0,0,1.66,0,0,112.17,0,0,1.23,14.86,0.58,0,5.1,0,0,0,0.61,0,0,73.97,0,8.02,1483.51,4.03,1.01,0,8.07,2.09,0,0,0,0,81.51,0,0,0,0,10.48
 72-82,0,3.98,0,9.71,1.34,0,189.22,0,1.55,3.24,39.23,0,0,1.26,0,0,4.54,0.71,4.65,0,96.4,2.18,8.28,2062.27,5.35,2.1,0,13.8,9.99,0,0,0,0,152.46,9.91,1.9,0.6,0.93,5.78
 84-94,0,5.17,0,8.11,1.52,0,169.91,0,0,1.26,20.18,0.93,0,1.02,1.48,0.68,0,0,0,4.37,86.73,8.47,19.56,1332.26,1.75,0,0,15.85,8.65,0,0,0,0,78.66,0,0,5.6,4.45,5.18
 96-106,0,5.58,0,11.61,1.48,0,140.13,0.87,0,0,20.75,1.03,0,0,0.57,0,1.89,3.49,0,0,111.87,3,9.65,1363.64,7.29,1.51,0,13.02,6.04,0,0,0,0,45.43,5.32,2.82,0,0.81,0
108-118,0,1.68,0,13.96,9.55,0,169.49,0,0,0,28.11,0.89,0,1.9,0.72,0.54,0,0,0.56,2.88,97.38,9.64,5.73,1548.23,2.55,0,0,4.72,3.57,0,0.94,0,0,22.29,0.93,1.53,2.16,3.34,0
120,0,0,0,25.92,0,5.29,239.18,0,0,0,33.98,6.96,0,3.24,0,0,0,0,0,0,76.85,0,1.9,2462.51,4.21,0,0,2.76,0,0,7.02,0,0,30.15,0,0,4.54,0,0
