stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,24.71,376.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.36,144.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.63,0,0,3.43,0,0,0,6.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.04,0,0,0,36.66,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,13.75,0,9.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.61,0,0,0,11.87,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.86,0,0,0,0,0,0,1.08,0,0,0,0,163.37,0,0,0,0,0,1.2,0,0,0,0,0,0,0.98,1.26,2.6,0,0,0,0,0
 24-34,0,0,0,0,1.05,0,0,0.78,0,0,0.67,0,0,0,0,0,388.79,0,2.18,0,0,3.09,9.35,0,1.06,0,0,0,0,0,0,1.47,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0.56,0,4.36,0.66,0,0,0,0,248.72,0,0,0,0,0,11.33,13.79,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,6.43,0,0,0,0,1.02,0,0,0,293.12,0,0,0,0,0,13.96,0,1.07,0,0,0,0,0,0,0.59,0,0,0,0,2.05
 60-70,0,0,0,0,1.13,0,8.61,2.43,0,0,0,0,0,0,0,0,199.24,0,0,0,0,0,4.96,0,1.98,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,25.24,0,1.16,3.29,0,0,0,0,0,391.15,0.49,3.42,0,0.92,0,45.79,0,0,0,0,2.51,0,0,0,3.5,0,0,0.5,0.81,7.58
 84-94,0,0,0,0,0,15.52,0,15.77,0,3.91,1.51,0.58,0,0,0,0,923.79,0,9.92,0,0,0,33.93,0,0,0,0,3.04,0,0,0,0,0,1.96,0,0,0
 96-106,0,0,1.07,0,5.66,31.4,0,45.3,0.96,1.54,13.58,15.28,4.47,0.59,1.8,0,1903.2,0,22.72,0,3.07,1.33,245.78,0,0,2.73,0,21.49,0,0,0,0,0.83,0,8.5,0.69,11.82
108-118,0,0,0,0,6.21,2.18,3.4,91.55,0.42,5.84,6.39,20.62,2.28,1.27,4.85,1.68,3541.95,0,38.99,0.57,0,0,253.08,3.77,0,0,0,12.16,0.66,0,0,12.09,0.89,0,1.17,2.95,12.53
120,0,0,0,0,12.24,22.99,1.06,22.95,0,3.03,2,40.56,0,0,0,0,1760.64,0,13.58,0,0,0,116.27,0,0,0,0,1.57,0,0,0,0,1.81,0,0,0,0
