stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,54.61,878.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9,0,0,0,0,0,0,0,0,0
  5-6,76.36,716.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.57,4.19,0,0,0,0,0,0,0,0,0,4.16,0,0,0,0,0,0,0,0,0,0,0,34.74,7.93,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31,0,0,0,1.28,0,0,0,0,0,2.72,0.87,0,0,0.96,0,0,0,0,0
 24-34,0,0,0,1.89,0,0,0,1.04,0,0,0,0,0,0,0,0,0,0,0,6.53,0,0,2.26,2.32,1.3,0,0,0,0,4.72,0,0,0,1.14,2.27,0,7.03,0,1.45
 36-46,0,0,0,14.68,0,0,3.05,0.69,0.96,1.84,0.72,0,1.38,0,0,0,0,0,5.36,11.84,3.23,0,0,3.43,0,1.48,0.57,0,0,25.55,0,0,0,0,4.14,0,4.42,0,0
 48-58,0,0,0,7.88,0,0,11.68,0.38,14.66,6.57,0.38,0,1.66,0,0,0.39,0.65,0.86,8.34,39.15,0,0,4.03,28.46,0,1.65,0.65,0,0,9.55,0,0,0,0,1.67,0,1.63,0,0
 60-70,0,0,0,5.56,0,0,28.93,5.55,0,30.46,1.82,0,2.87,0.65,0,0,0,0,6.83,83.41,0,5.5,1.33,25.95,0,0,0.91,0,0,27.7,0,0.62,0,0,12.11,0,1.48,0,3.63
 72-82,0,0,0,4.36,0,0,24.43,0.74,2.5,57.23,0.63,0,0,0,0,0.59,0.71,1.44,4.67,109.63,0,2.36,7.83,27.75,0,0,1.89,0,0.8,10.33,0,0,0,0,3.96,3.01,1.93,3.21,3.53
 84-94,0,0,0,15.58,0,0.6,24.37,3.26,1.61,83.28,1.67,0,0.78,0,0.73,3.37,0.61,0,11.27,89.47,0,9.4,11.7,25.76,0,0,0,0,1.75,34.42,0,4.03,0,0,7.91,0,5.98,3.86,0.73
 96-106,0,0,0,7.71,0,0,40.34,8.12,0.81,76.59,11.44,0,0,1.12,0.6,2.71,2.5,0,6.97,83.63,0,9.39,17.32,34.26,1.66,4.98,4.12,0,0,14.46,0,3.8,0,0,10.72,6.43,2.33,1.47,0
108-118,0,0,0,14.99,0,1.4,28.39,6.04,4.84,79.84,2.39,0,0,0,1.63,3.42,3.63,0,31.17,110.75,0.54,10.33,12.19,27.92,2.75,0.55,3.16,0,4.4,8.15,0,8.74,0.57,0,18.3,2.34,12.32,1.3,7.4
120,0,0,1.37,3.09,3.22,0,5.92,0,12.26,78.98,17.48,0,0,0,0,3.57,5.55,12.82,9.63,129.34,3.01,2.47,1.9,44.32,2.24,0,4.43,0,0,3.06,0,3.79,0,0,21.32,0,5.28,0,0
