stage,blastomeres,epidermis,glial,lateral.line,mesenchyme,neural,otic,paraxial.mesoderm,slow.muscle,somites,spinal.cord
  7-9,0,0,0,0,0,0,0,6.76,0,0,0
 10-12,7.91,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,2.29,0,0,3.52,0.87,1.25
 36-46,0,2.54,0,0,0,2.26,0,0,0,0,0
 48-58,0,0,0,0,0,7.46,0.64,0,0,0,0
 60-70,0,0.78,0,0.64,0,3.52,0.63,0,0,0,1.72
 72-82,0,0,1.93,0,0,4,0.59,0,0,0,0
 84-94,0,0,0,0.64,2.71,0,4.23,0,0,0,0
 96-106,0,0,0,0.71,0,3.21,1.29,0,0,0,0
108-118,0,0,1.33,0,0.44,0,3.29,0,0,0,0
120,0,0,0,4.72,0,0,0,0,0,0,0
