stage,axial,blastomeres,endoderm,eye,fast.muscle,glial,gut,hatching.gland,immune,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vascular.smooth.muscle
  3-4,12.69,45.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,132.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.38,0,0,0,0,9.25,0,0,97.29,0,0,43.48,0,0,0,0
 10-12,0,0,14.5,0,0,0,0,0,0,0,55.97,0,0,44.2,0,7.7,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,3.05,1.92,0,0.9,0,0.84,2.76,0
 24-34,0,0,0,0,0,0.64,0,0,0,0,7.23,4.95,2.48,0,0,0.91,7.36,0
 36-46,0,0,0,0.95,0,0,0,0,2.14,0,16.76,0,0,0,0,0,1.65,0
 48-58,0,0,0,3.31,0.51,0,0,0,0,0.45,26.13,0,1.85,0,0,0,4.89,0
 60-70,0,0,0,14.97,0,0,0,0,0,0,32.07,0,0,0,1.36,0,3.25,0
 72-82,0,0,0,8.36,0,0,0,0,1.38,0.69,18.92,0,0,0,0,0,0,0.52
 84-94,0,0,0,17.14,0,0,0.72,0,0,1.33,18.86,0,0,0,0,0,0,0
 96-106,0,0,0,14.46,0,0,0,0,1.74,0.97,7.34,0,1.09,0,0,0,0,0.87
108-118,0,0,0,14.31,0,0.83,0,0,1.55,0.81,13.39,0,0,0,0,0,0,0.85
120,0,0,0,20.97,0,0,0,0,29.18,0,19.97,0,0,0,0,0,0,0
