stage,eye,fin.epithelia,glial,gut,immune,lateral.line,mesenchyme,neural,periderm,spinal.cord
 14-21,0,0,0,0,0,0,0,0,2.29,0
 24-34,0.81,0,0.65,0,0,0,0,3.09,0,0.63
 36-46,0,0,0,0,0,0,0,1.82,0,0
 48-58,1.19,0,0,0,0,0,0,0,0,0.71
 60-70,0,0,0,0,0,0,0,5.91,0,0
 72-82,0,0,0,0,0,1.05,1.09,2.6,0,0.75
 84-94,0,0.66,1.15,0,0,0,0,0.85,0.93,0
 96-106,0,0,0,0,0,0.84,0,1.42,0,0
108-118,0,0,0,0,0.98,0,0,1.72,0.51,0
120,0,0,0,4.45,0,0,0,0,0,0
