stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.61,94.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,33.55,327.5,18.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.59,6.07,0,0,29.65,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,220.96,45.68,122.47,0,0,9.78,0,0,0,0,0,48.58,0,0,0,0,0,0,0,0,0,0,192.14,71.67,0,0,2059.08,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,35.39,33.53,0,0,36.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.4,42.86,0,0,341.16,0,0,0,131.36,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.14,23.2,0,0,0,0,2.82,0,0,0,0,0,0,0,0,40.26,0,0,21.31,3.23,4.57,0,0,0,0,0,6.15,0.86,2.06,12.52,6.31,0,0,0,0,0
 24-34,0,0,0,1.41,4.47,2.55,0,0,7.45,0.73,0,0,1.02,0,1.49,0,0,0,180.93,0,0,56.3,11.05,0.82,3.88,1.3,0,0,2.91,0,5.84,0,0,4.42,0,0,0,0,0
 36-46,0,0,0,0,2.79,2.12,0,14.75,58.36,3.36,0,0,3.51,0,1.65,0,0,0,289.64,0,13.6,54.99,41.4,2.01,0.93,0,0,0,3.94,0,3.13,2.23,0,5.82,0,0,1.05,0,0
 48-58,0,0,0,0,2.81,14.39,0,0,87.75,3.25,0,0,0.55,0,2.79,0,0,1.02,426.05,0,31.48,67.19,39.77,0.89,0.44,0,0,8.64,0.46,0,0.77,0,0,5.04,0,6,0.45,11.2,0
 60-70,0,0,0,0,0,21.9,3.97,2.99,60.14,6.57,0,0,1.69,3.94,3.57,0,0,0,666.24,0,76.63,24.94,41.24,0,0,0.71,0,0.63,2.32,0,0,0,0,4.92,0,94.16,0,92.16,0
 72-82,0,0,1.12,1.07,0,62.62,13.67,0,98.71,3.13,3.6,0,2.47,0.63,13.08,0,0,0.96,1221.79,0.78,42.51,45.34,70.06,0,0,0.5,0,26.01,4.76,0,0.55,0.85,0,8.16,0,195.64,1.74,160.01,0
 84-94,0,0,0,0.96,5.52,99.86,8.55,0,103.22,2.66,0,0,2.54,0,7.73,0,0,5.44,1234.93,0,89.82,40.07,45.46,0,0,0,0,0,6.05,0,3.7,3.9,0,0,0,271.38,0.81,175.5,0
 96-106,0,0,0,9.85,7.17,53.69,4.62,1.06,61.6,8.5,0,0,9.74,0.83,14.89,1.66,0,0,1354.08,2.84,36.35,36.15,81.66,0,1.44,0,0,6.45,16.28,0,2.89,0,0,0,1.68,251.88,0,258.54,0
108-118,0,0,0,3.06,3.2,26.59,6.94,1.65,61.14,13.72,2.45,0,2.14,0.61,20.82,0.55,1.33,2.68,1539.5,0,77.76,36.06,79.74,0,0,0,0,10.86,9.72,0,0.53,1.17,0,3.9,0,303.98,1.44,169.21,1.98
120,0,0,0,4.6,0,45.28,0,0,105.59,5.28,1.21,0,4.54,3.47,1.29,0,0,0,1279.29,1.31,97.33,22.4,47.27,0,8.07,0,0,15.22,14.03,0,0,0,0,0,0,226.88,12.47,173.14,0
