stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,10.75,201.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.29,0,0,0,0,0,0
  5-6,6.56,71.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,4.51,0,0,0,0,0,0,0,0,58.13,0,0,0,12.85,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,5.97,0,0,0,0,0,0,0,0,35.36,0,0,0,52.33,0,0,0,0,0,0,0
 14-21,0,0,0.88,3.65,1.74,2.94,0,0,0,0,0,0,3.15,2.89,39.41,0.88,0,1.77,0,0,2.1,0.84,7.72,0,0,0
 24-34,0,0,0,6.23,0,5.84,0.61,0,0,1.94,0,0,0.73,1.53,70.93,0,0,2.07,0,0,0,0,12.23,0,0.96,0
 36-46,0,0,0,0,0,16.06,0,0,0,0,0,0,2.14,2.66,56.99,0,1.63,0,0,0,0,0,11.08,0,2.56,0
 48-58,0,0,0,0,0,18.82,0,0.7,0,0,0,0.5,5.69,0.44,64.4,0,0,0,0,0.65,0,0,13.87,0,0,0
 60-70,0,0,0,0,0,31.35,0.82,0,1.69,0,0,0,3.58,1.01,46.13,0,0.99,0,0,0,0,0,8.97,2.51,2.38,0
 72-82,0,0,0,1.79,0,20.35,0,0,7.96,0,0,0,12.26,2.29,26.12,0,0.93,0,0,0,0,0,1.7,0,0,0
 84-94,0,0,0,0.58,3.25,10.22,0,0.59,5.64,0,0,0,14.63,0,72.89,0,0,0,0,0,0,0,3.06,0,0,0.88
 96-106,0,0,0,0.77,9.99,23.37,0,0,0.95,1.6,0,2.09,9.55,0,30.76,0,0,1.77,0,0.64,0,0,0,0,0,0
108-118,0,0,0,1.93,0,6.98,0,0,6.3,0,0.43,0,8.72,1.77,22.3,0,0.81,0,0,0,0,0,0,0,0.69,0.97
120,0,0,0,2.11,0,14.23,0,0,0,0,0,0,3.76,0,28.56,0,0,0,0,0,0,0,0,0,0,0
