stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.32,4.29,0,0,19.84,0,0,0,0,0,0,0,0
 14-21,0,6.1,0,0,0,0,0,0,0,1.16,0,0,2.95,0,0,0,4.15,0.91,0,0,0,0,35.86,1.28,1.46,0.83,1.78,0,0
 24-34,0,0.69,0.66,0,0,0,0,0.92,0,0,0.82,0,3.67,0,0,0.75,17.66,0,0,0,0,0,32.66,0,0,0,4.78,0,0
 36-46,0,0,0,2.35,0,0,0,0,0,0.56,0,0,1.19,0,0,0,34.17,0,0,0.83,0,0,14.3,0,0,0,6.67,0,0
 48-58,0,0,0,3.65,0,0,1.04,0,0,0,1.05,0,1.22,3.08,0,0.63,39.75,0,0.5,0,0,0,21.38,0,0,0,7.62,0,0
 60-70,0,0,0,27.75,0,0,1.03,0,0,0,2.8,0,18.01,1.27,8.02,0,36.36,0,0.99,0,0,1.19,4.51,0,0,0,8.85,0,0
 72-82,0.61,0,0,12.03,0,0,0,0,0.59,0,1.53,0,6.93,0,1.13,0,20.54,0,0.74,0,0,0,0.98,0,1.58,0,5.08,0,0
 84-94,0,1.28,0,17.54,0,0,2.95,1.01,4.5,1.36,0,0.73,1.64,0,0,0,16.97,0,2.58,0,0,0,19,0,0,0,0,0.57,0.65
 96-106,0,2.08,0,27.61,0,1.8,7.56,2.38,0,0,0,0,2.79,0,0,0,17.31,0,4.16,0.98,0,0,22,0,0,0,0,0,0
108-118,0,2.33,0,11.14,1.46,0,4.93,1.45,1.4,0.64,0,0,1.92,7.39,3.39,0,47.08,0,2.04,0.72,0,0,15.36,0,0,0,0.89,0,2.06
120,0,2.74,0,0,0,0,11.76,1.31,0,0,0,0,5.25,0,0,0,55.17,0,0,0,0,0,11.1,0,0,0,1.91,0,0
