stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,24.05,738.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.11,0,0,0,0,0,0
  5-6,44.26,475.09,0,0,0,0,0,0,0,0,0,10.93,0,0,0,0,0,0,0,21.86,0,0,20.08,25.95,0,0,0,0,0,0
  7-9,4.19,4.71,3.91,0,0,0,23.02,0,0,0,0,17.11,0,0,0,0,0,0,0,321.79,24.09,0,64.48,0,0,0,0,0,0,0
 10-12,0,17.74,34.54,0,10.36,0,23.45,0,0,0,0,20.9,0,0,0,0,0,0,0,450.49,16.62,0,148.53,0,0,6.22,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0.92,0,0,0,0,0,0,5.85,1.25,12.14,0,0.94,0,0,2.17,0.81,0,1.8,6.08,0
 24-34,0,0,0,0.68,0,0,1.6,0,0,0,0,0,0,3.93,0,1.59,0,0,0.69,17.77,0,36.92,0,0.89,0,0,0.66,0,6.11,2.77
 36-46,0,0,0,0,0,0,0.86,3.69,0,0,0,0,0,2.85,0,3.34,0,0,0,7.34,0,59.18,0,1.62,0,0,6.65,0,2.57,0
 48-58,0,0,0,0,0,0,3.62,0,0,0.7,0,0,0,0,0,11.9,0,1.52,0,0.8,0,35.23,0,0,0,0,0.93,0,5.92,0
 60-70,0,0,0,0,0,0,16.13,0,0,2.48,0,0,0,0,0,58.63,0,0,0,2.27,0,77.57,0,0.65,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,2.81,0,0,0.89,0,0,0,0,0,49.95,0,3.12,0,21.15,0,73.12,0,0,0,0,0,0,1.67,0
 84-94,0,0,0,0,0.77,0,1.18,0,0.89,0,0.75,0,0,1.81,4.09,68.03,0,0,0,0,0,64.68,0,0.82,0,0,0,0,0,0
 96-106,0,0,0,0,1.57,0,9.78,0,0,0,0,0,0,0,0,114.64,0,6.02,2.02,7.17,0,61.94,0,0,0,0,0.74,0,4.04,0
108-118,0,0,0,0,1.14,1.46,0,0,0,0,0,0,1.09,0,0,69.69,1,2.62,2.97,5.14,0,79.59,0,0,0,0.59,1.87,0,0.52,0
120,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,107.72,0,7.54,0,10.35,0,123.64,0,3.64,0,0,1.32,0,7.97,0
