stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,0,32.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,35.78,160.24,8.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.45,0,0,0,17.45,0,0,0,0,0
  7-9,17.6,0,34.85,0,0,7.39,0,0,0,11.32,0,0,0,0,0,0,0,62.61,7.63,0,59.93,0,0,0,0,0,0
 10-12,0,10.88,16.71,0,0,19.57,0,0,0,5.06,0,0,0,0,0,0,0,51.62,0,0,36.83,0,0,13.24,0,0,0
 14-21,0,0,0,3.12,1.89,0,0,1.75,0,0,0,0,0,0,6.28,0,1.56,5.18,0,0,0.93,0,3.37,0,6.12,5.79,0
 24-34,0,0,0,0,2.94,0.94,3.23,0,0,0,0,0,0,0,0,0,1.02,10.94,0,0,0,0,0,0.61,26.85,1.2,0
 36-46,0,0,0,0,0,2.13,0,0,0,0,0,0,0,0,8.2,0,0,8.5,0,0,0,0,0,0,0,0.8,0
 48-58,0,0,0,0,0,0.41,0,0,0,0,0,0,0,0,2.73,0,0.82,3.5,0,5.91,0,0,0,0,0,0.68,1.96
 60-70,0,0,0,0,0,0,0,0,0,0,3.39,0,0,0,1.34,0,0,1.63,0,0,0,5.81,0,0,0,0,0.75
 72-82,0,0,0,0,0.54,0.89,0,0,1.97,0,11.27,0,0,0,3.62,0.51,0,0.85,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,6.66,0,0,0,0,0,0,0,0,0,0,5.54,0,0,0,0,1.43
 96-106,0,0,0,1.3,0,0,0,0,0,0,13.09,0,0.75,0.63,3.03,0,0,0,0,0,0,0,0,0,0,0,2.79
108-118,0,0,0,0,0,0,0,1.11,0,0,9.56,0.79,0,0,3.65,0,0,5.88,0,0,0,0,0,0,0,0,0.45
120,0,0,0,0,1.9,4.5,0,0,0,0,34.15,0,0,0,1.69,0,0,0,0,0,0,0,0,0,0,14.95,6.03
