stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,0,432.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.7,0,0,0,0,0,0,0
  5-6,10.91,194.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.89,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.39,0,0,0,26.64,0,5.5,0,0,0,0,0,0
 10-12,0,6.68,8.61,0,0,6.59,0,0,0,0,0,0,0,0,0,0,0,0,0,64.6,0,0,0,28.6,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.94,0,0.87,0,0,0,0,0,0,0,0,0,1.74,0,0,3.37,15.77,0,0,1.2,0,0,0,1.07,0,0,1.15,5.24,0
 24-34,0,0,0.86,1.89,0,2.78,0,9.97,0,0,0,0,0,0,0,6.63,0,0,2.38,44.24,2.7,3.21,0.79,0,3.64,0,0,0.62,1.55,1.69,19,0.59
 36-46,0,0,0,0,0,5.21,0,1.06,0,0,0,0,0,0,1.51,3.29,0,0,0,36.36,0.64,1.73,0,0,1.22,0,0,0,5.03,0,10.17,6.45
 48-58,0.39,0,0,0,0,11.31,0,1.9,0,0,0,5.82,0,0.4,0,9.16,0,0,0.38,37.66,2.69,1.9,0,0,0,0,0,0,3.14,0,9.9,0
 60-70,0,0,0,0,0,10.59,0,5.07,0.65,0,0,0,0,0,0,13.06,0,0,0,41.98,1.1,2.08,0,0,1.7,0,0,0,0,0,2.16,0
 72-82,0,0,0,0,0.53,4.48,0,1.11,1.38,0,0,0,0,0,0,7.88,0,1.32,0.68,35.02,0,2.5,2.48,0,0,0,0,0,0,0,8.06,0.5
 84-94,0,0,0,0.61,2.48,19.78,0.7,1.72,0,0,0,0,0,0,0,6.22,0,0.86,0,36.43,0,9.71,1.63,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,41.43,10.75,0,4.69,0.64,1.61,0.69,0,0,2.65,0,3.72,0,0,3.91,28.87,0.61,0,0,0,0,0,0,0,0,0,0,1.85
108-118,0,0,0,2.29,4.7,7.04,0,3.75,0,0,0,0,0,0,0,0,2.55,0,0,28.64,0,0,1.37,0,1.04,0,0,0,4.14,0,0,0.42
120,0,0,0,0,16.15,12.01,0,0,0,0,0,0,11.36,0,0,1.13,0,6.81,0,99.23,0,0,1.73,0,0,0,0,0,0,0,0,0
