stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,72.3,562.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.78,0,0,0,0,0,0,0,0
  5-6,0,131.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.49,0,0,0,0,0,0,4.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.76,0,0,0,22.97,0,0,5.11,0,0,0,0,0,0,0
 10-12,0,3.64,0,4.7,0,9.78,0,3.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.64,16.06,0,0,56.48,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.14,0,12.16,14.35,0,8.07,0,0,0,0,0,1.07,0,0.96,0,0,0,0,2.1,0,0,3.05,50.52,0,1.54,0,0,0,0,0,0.84,0,1.09,12.56,0,0.98,0
 24-34,0,0,2.64,0,1.88,1.28,0,13.28,0,0,5.45,0,0,0,0,0,0,0,0,0,3.86,0,0,4.36,170.18,0,0.6,0,0,0,1.7,0,0,11.7,0.64,40.39,0,0,1.55
 36-46,0,0,6.12,0,5.27,1.44,0,58.84,0,0,1.9,0,0,0,0,0,0,0,0,0,8.24,0,0,3.54,192.08,0,4.02,0,0,0,6.52,0,0,10.19,0,23.19,0,2.9,0
 48-58,0,0,0,0,0.5,0,0,43.7,1.25,1.24,10.62,0,0,0.48,0,0,0.39,0,0,0,17.05,0,0,4.59,137.4,0,2.53,0,0,0,1.43,0,0,4.19,0,25.32,0,3.49,1.27
 60-70,0,0,0.57,0,2.2,0,0,70.58,3.94,0,28.15,0,0,0,0,0,0,0,1.7,0,10.75,0,0,2.79,120.91,0,0,0,0,0,9.23,0,0,2.14,0,14.8,0,0.72,0
 72-82,0,0,3.46,0,0.73,0,0,57.47,0,4.41,6.53,0,0,0.51,0,0,0,0,5.42,0,12.13,0,0,2.01,183.38,0,2.21,0,0,2.17,0,0,0,7.36,0,24.55,0,2.5,9.07
 84-94,0,0,6.69,0,3.42,0,0.59,28.39,0.58,0,18.53,3.93,1.23,0,0,0,0,0,1.97,0,19.81,0,0.9,0,156.17,2.27,0,3.66,0,0,3.8,0,0,32.34,0,8.13,0,1.83,0
 96-106,0,0,2.97,0,2.31,0,0,31.37,0,0.81,27.89,1.1,0,0,0,0,0,0.77,0,0,22.22,0,2.84,1.44,82.69,0,5.87,1.01,0,0,3.72,0,0,31.13,0,0,2.46,0.92,3.32
108-118,0,0,5.96,0,4.61,0.57,5.73,22.68,0,0,6.41,4.72,0,0,2.88,0.45,0.65,0,5.2,1.01,17.89,0.53,0,4.14,76.95,1.11,4.29,1.09,0,0,7.53,0,0,37.01,0,2.36,0,7.7,0
120,0,0,28.46,0,4.94,0,0,13.09,0,0,39.88,3.22,0,0,0,0,0,2.13,2.84,0,15.07,0,0,6.33,122.7,4.62,0,0,0,0,2.79,0,0,40.6,0,12.5,0,1.67,0
