stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65,2032.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,124.58,2273.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.6,0,0,0,35.82,0,46.74,0,0,0,0,0,0,0,0,0
  7-9,9.07,40.62,62.99,0,0,130.6,0,0,0,0,37.16,0,0,0,0,0,0,0,0,0,0,0,1503.31,20.53,0,0,324.25,0,4.34,0,0,0,0,0,0,0,0,0
 10-12,0,54.55,82.6,0,6.18,35.45,0,0,0,0,0,0,0,0,0,0,3.73,0,0,0,0,0,868.03,35.78,0,0,289.26,0,6.67,11.5,0,41.33,0,0,0,0,0,0
 14-21,0,0,10.1,66.54,25.5,23.58,0,0,14.01,0,0,1.07,0,0.89,0,0,0,0.94,52.31,0,0,20.51,329.3,8.16,0,3.74,13.15,0,0,0,33.67,2.37,14.04,119.05,0,17.63,0,0
 24-34,0.88,0,4.12,19.98,3.87,47.95,1.81,5.33,30.67,2.56,0,0,0,0,0,0.86,0.61,0,91.24,0,0.69,43.74,599,2.68,2.8,6.1,0,0,10.9,0,0,0,4.2,209.65,0,61.81,0,0
 36-46,0,0,0,11.08,0,50.47,1.88,4.48,26.22,1.04,0,1.55,0,1.21,8.46,0,0.72,0,95.27,1.26,3.11,25.5,374.97,0.62,0.98,4.15,0,0,0,0,0,0,0,153.48,0,37.96,0,9.62
 48-58,0,0,0,23.44,0,63.8,6.36,0.99,54.36,0,0,2.39,0,0,0.75,0,0,0,61.28,0,4.88,23.97,226.86,0.56,0,3.04,0,0.61,1.39,0,0,4.97,0,68.33,0.42,26.61,0,0
 60-70,0,0,0,8.18,0,61.06,5.6,2.87,92.59,1.43,0,0.75,7.59,0,0.63,1.55,0,0,50.26,0,5.79,12.51,156.72,0.64,0,1.71,0,0,3.31,0,0,0,0,25.59,0,15.47,1.54,0
 72-82,0,0,0,17.45,0,36.55,1.95,1.92,94.57,1.18,0,0.6,0.6,0,1.86,0.57,0,0,54.64,0,1.98,13.8,70,0,0,0,0,0,0,0,0,0.75,0,14.89,0.75,18.43,0,11.74
 84-94,0,0,0,19.1,0,24.62,0.74,0.74,97.68,0,0,4.86,0.78,0,3.42,5.72,0,0,38.68,0,3.83,14.81,93.39,0,3.83,5.28,0,0,2.83,0,0,0,0,36.04,0.75,8.32,0.63,0
 96-106,0,0,0,4.32,0,16.88,0,1.67,53.98,1.85,0,3.32,0,1.06,2.27,1.58,1.03,0,47.6,0,3.17,8.32,80.05,0,0.57,10.14,0,0,0,0,0,0,0,6.23,0,16.52,0,5.7
108-118,0,0,0,9.25,0,13.46,0,0.56,77.55,0,0,1.02,0,0,1.72,0,0,0,30.19,0,0.46,13.12,93.91,0,0.93,0.89,0,0,0.5,0,0,0,0,8.66,0,5.44,1.19,0
120,0,0,0,5.87,1.38,35.59,0,0,87.56,1.38,0,0,2.5,0,0,1.48,0,0,14.77,0,3.51,8.66,79.45,0,0,2.87,0,0,0,0,0,0,0,3.3,0,22.9,0,0
