stage,blastomeres,endoderm,epidermis,eye,glial,gut,heart,ionocyte,mesenchyme,mucous,muscle,neural,notochord,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste
  3-4,27.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,66.33,0,0,0,0,0,0,0,0,0,0,0,0,11.61,0,0,0,0
  7-9,0,0,0,10.74,0,0,0,0,0,0,0,47.27,6.09,13.46,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,32.13,0,8.48,0,6.51,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,4.03,0,0,0,0,1.38,0
 24-34,0,0,0,0.79,4.07,0,0,3.21,0,17.54,0.67,15.58,0,0,1.9,0,11.09,0
 36-46,0,0,0,0,0,0,0,6.52,0.82,11.49,0.76,12.37,0,0,0,0,2.12,0
 48-58,0,0,0.56,3.12,0.72,0,0,0,0.62,20.54,0,2.45,0,0,0,0,0.5,0
 60-70,0,0,0,1.29,0,0,0,0,0,9.85,0,8.4,0,0,0,0,0,0
 72-82,0,0,1.65,1,0.81,0.85,0,8.1,0,20.8,0,3.88,0,0,0,0,0,0
 84-94,0,0,0,1.27,0,4.84,0,0,0,37.01,0,1.05,0,0,0,0,0,0
 96-106,0,0.58,3.19,1.41,0,6.06,0.79,0.58,0,42.5,0,3.98,0,0,4.03,0,0,0
108-118,0,0,4.08,0.43,0,35.77,0,1.14,0,15.23,0,4.47,0,0,0,0,0,1.6
120,0,0,1.31,0,0,10.66,0,0,0,16.95,0,0,0,0,0,0,0,0
