stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  5-6,7.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,5.69,0,0,3.37,0,0,0,0,0,0
 10-12,0,0,9.56,0,0,0,0,0,0,0,0,0,0,4.65,0,0,0,0,0,0,0,0,0
 14-21,0,4.4,0,0,0,0,0,0,0,0,0,0,1.18,7.41,0.99,0,0,0.81,0,0,0,0,0
 24-34,0,0,0,2.84,0,0,0,0,0,0,0,2.39,1.27,133.8,7.24,0,0,0,1.75,0,1.1,6.13,0
 36-46,0,0,0,32.53,0,0,0.65,0.83,0,0,0,1.64,1.27,944.21,1.24,0.8,0,0,0,0.74,0,63.02,0
 48-58,0,1.74,2.12,51.73,0.74,1.68,0,3.99,0,0,0,1.01,0,364.14,0,0,0,0,0,0,0,102.7,0
 60-70,0,5.23,0,30.4,0,0,0,12.4,0,0,0,1.16,0,136.64,0,0,0,0,0,0,0,37.71,0
 72-82,0,0,0,18.9,0,0.78,0,0,0,0,0,0.53,0,87.42,0,0,0,0,0,0,0,12.87,0
 84-94,0,0,5.07,24.66,0.73,0,0,0,0.58,0,0,1.38,0,36.78,0,0,0,0,0,0,0,2.64,0
 96-106,0,0,0,8.88,0,0,0,0,0,0,0,0,0,32.53,0,0,0,0,0,0,0,5.17,2.37
108-118,0,0,0,16.01,0.46,0,0,1.45,0,0.51,0.51,9.08,0,41.93,0,0,0,0,0,0,0,2.21,1.62
120,0,2.18,0,20.74,0,0,0,0,0,0,0,0,0,97.69,0,0,0,0,1.04,0,0,0,0
