stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,103.39,2396.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.56,0,0,0,0,0,0,0,0,0
  5-6,51.33,966.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,10.32,0,0,0,0,0,4.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.05,10.62,0,0,64.59,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,54.4,0,14.44,0,0,0,110.67,0,0,0,0,0,5.06,0,0,0,0,0,0,0,0,0,0,0,1474.38,0,0,0,253.27,0,0,6.12,53.9,0,26.13,0,0,0,0,0
 14-21,0,0,0,0,11.51,0,0,513.83,0,0,0,0.88,0,0,0,0,0,0,0,5,0,87.15,0,0,240.76,1223.67,2.81,3.47,0,0,0,2.93,23.51,5.41,1.4,519.49,75.99,0,0,0,0
 24-34,0,0,0,0.62,4.91,0,0,1085.21,0,0,0,7.48,0,0,0,0,0,0,0,13.73,0,138.65,0,0,608.34,994.85,0.9,0,2.63,1,0,6.42,0,4.67,0,24.48,103.78,0,0,0,0
 36-46,0,0,0,0,0.98,1.27,0,790.37,1.87,0,2,305.3,0.58,0,0,0,0,0,0,10.9,0.77,146.75,0,0,206.11,1091.93,0,2.05,4.99,0,0,0.66,0,2.09,0,0,122.12,0,0.69,0,3.89
 48-58,0,0,0,0,2.68,0,0,1010.49,0,0,0,337.29,0.51,0,0.38,0,0,0.83,0,13.05,0,71.04,0,0,37,593.8,0,10.3,0,0,0,1.31,0,1.8,1.39,0,172.9,0,0,0,0.91
 60-70,0,0,0,0,11.5,0,0,1445.79,0,0.82,2.51,491.28,19.24,0,0,0,0,0,0,15.68,0,55.45,0,0,7.12,461.7,11.33,1.24,0,0,0,3.64,0,14.97,2.16,0,67.02,0,0,0,0
 72-82,0,0,0.5,0,0.94,1.53,0,1279.59,0,0,0,240.54,22.67,0,0.68,0,0,0,0,9.65,0,46.25,0,0,1.86,264.15,0,2.75,3.08,0,0,1.92,0,17.4,0,0,56.06,2.98,8.53,0,7.86
 84-94,0,0,3.91,0,6.27,4.52,0,3193.09,0,0,1.02,165.47,51.64,3.67,0,1.31,2.47,0,0,0,0,26.4,0,0,0.57,265.45,0,3.06,10.13,0,0,14.36,0,53.83,9.42,0,34.08,0,3.01,0,0
 96-106,0,0,1.9,0,9.3,1.2,1.14,3472.04,0,1.9,0,150.33,87.03,0,0,0,1,6.49,1.15,13.31,0,24.09,0.68,0,2.06,261.57,2.22,4.83,1.72,0,2.84,9.79,0,35.48,15.55,0,7.12,0,4.39,0,10.37
108-118,0,0,0,0,13.39,0,0,4953.58,0.98,1.67,0,145.54,147.92,0,0,0,0,5.53,0.53,9.69,0,28.13,0,1.86,1.39,250.54,0.43,4.93,13.97,0,0,8.69,0,53.1,0,0,21.27,0,0.78,0.87,2.11
120,0,0,0,0,3.5,0,0,2297.08,0,0,0,188.81,107.17,0,0,0,0,0,0,0,0,33.4,0,0,2.93,253.5,29.57,5.71,21.02,0,0,4.14,0,67.95,0,0,16.08,0,1.78,0,0
