stage,epidermis,eye,fin.mesenchyme,glial,immune,lateral.line,liver,mesenchyme,muscle,neural,olfactory,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature
 14-21,0.93,0,0,0,0,0,3.9,0,0.91,2.1,0,0,0.83,0,0,0
 24-34,0,0.75,0,0,0.69,0,1.22,0,1.21,9,2.61,4.24,0,1.04,0,0
 36-46,0,0,0,0,0,0,0,1.48,0,33.42,10.46,4.8,0,2.03,0,0
 48-58,0,0.41,0,0,0,0,0,0,0,18.15,7.88,0.68,0,5.07,0,0
 60-70,0,0,0,0,0,0,0,0,0,29.5,8.37,2.12,0,4.42,0,0
 72-82,0,2.96,0,1.89,0,0,0,2.07,0,35.33,19.77,1.15,0,3.74,0,0.73
 84-94,0,2.31,0,0.83,0,0,0,0,0,19,12.19,0.77,0,0.97,0,0
 96-106,0,0.56,0.72,1,0,0,0,0,0,27.34,17.02,0,0,2.63,0,0
108-118,3.15,0,0,0.9,0,0.61,0,0,0,13.12,10.72,0.78,0,2.6,0,0
120,0,0,0,0,0,0,0,0,0,38.39,43.12,0,0,3.48,1.52,0
