stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,226.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.09,0,0,0,0,0,0,0,0,0,0
  5-6,12.92,204.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.75,4.97,10.66,0,0,0,25.11,0,0,0,0,0,8.82,0,0,0,0,0,0,0,0,0,0,131.47,0,0,0,48.39,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.45,0,0,0,8.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,5.01,0,0,27.44,0,0,17.74,0,11.32,0,0,0,0,0,0,0
 14-21,0,0,0,7.86,1.06,0,78.83,0,0,0,0.86,0.85,0,0,0,2.21,0,0,164.89,7.57,0,0,2.74,41.2,1.16,0,0,0,0,0,0,0,0,1.09,5.64,18.73,0,0,0,147.99
 24-34,0,0,0,6.24,0.67,0,485.65,0,1.53,0,0,0.66,0,0,0,6.7,0,0,1000.28,9.73,0,0,2.88,115.35,2.46,0.97,0,0,0,4.3,0,0,0,0,3.23,8.94,0,9.53,0,608.78
 36-46,0,0,0,2.66,0,0,503.87,1.6,0.89,0,1.35,0,0,0,0,20.84,0,0,1716.48,4.37,0,0,1.53,107.65,0,1.67,0,0,0,1.3,0,0,1.51,0,0,12.7,0,3.3,0,619.79
 48-58,0,0,0,0,0,0,585.56,0,0,0.76,8.21,0,0,0,1.38,56.25,0,0,1105.83,9.94,0,0,2.15,99.39,7.38,2.5,0,0,0,18.3,0,0,0,1.55,0,13.44,0,4.86,0,772.51
 60-70,0,0,0,14.57,0,0,767.91,0,0,1.31,5.5,0,0,0,0,176.96,0,9.79,582.74,36.72,0,0,3.04,59.1,0,0,0,0,0,6.82,0,1.38,0,0,0,10.08,0,0,0,760.06
 72-82,0,0,0,4.27,1.08,0,401.89,0,0.68,3.22,8.38,0,0,0,0,103.76,0,2.04,340.05,40.82,0,0.63,1.15,62.63,0,2.06,0,0,0,1.89,0,0,0.64,0,0,1.86,2.66,5.65,0.85,468.61
 84-94,0,0,0,0,0,0,806.93,0.7,0,0.59,16.92,0,0,0,0,199.37,0,0,710.75,58.4,0,0,11.45,39.51,0,0,0,0,0,7.7,0,0,0,0,0,0.95,0,0,0.89,382.35
 96-106,0,0,0,4.15,0,1.14,533.07,0,0,0,14,0,0,0.96,0,165.88,1.04,2.1,297.14,28.55,0,0,1.08,79.33,0,2.44,0,0,3.88,1.38,0,0,0,0,0,5.41,1.22,2.06,0,325.97
108-118,0,0,0,4.01,0,0,507.67,0,0,0,8.75,3.8,0,2.32,0,217.85,0,0,459.69,46.68,0.71,1.06,1.21,37.78,0,0,0.48,0,0,2.96,0,0,0,0,0,0,2.38,1.28,0,295.63
120,0,0,0,2.38,11.88,0,149.42,0,0,0,22.37,0,0,0,0,153.36,0,0,177.37,69.95,0,0,0,29.16,1.12,0,0,0,0,0,0,0,0,0,0,0,0,1.82,0,59.27
