stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,11.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.29,25.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.84,0,0,0,0,0,4.49,0,0,0,0,0,3.86,0,0,0,0,0,0,0,0,0,0,41.55,0,0,0,9.93,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,11,0,0,0,0,0,19.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.72,25.97,0,0,13.3,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,8.09,6.31,0,13.55,0,0.87,0,0.88,1.28,0,1.8,0,0,0,0,0,0,20.28,0,20.63,90,0,0,0,0,0,0,0.91,0,26.43,16.41,67.32,0,0,4.97,0,0
 24-34,0,0,0,0.67,7.06,1.43,0,62.05,0,1.81,0,16.69,0,0,4.04,0,0,0.6,0,0,0.95,97.22,0,76.93,672.37,0.79,2.22,5.59,0,0,4.57,0,0,1.36,5.55,212.08,0,0,87.25,0,0
 36-46,0,0,0,0,0.6,0,0,45.65,2.15,0,5.62,16.87,0,0,10.31,0,0,0.65,0.65,0,0,206.03,0.56,51.21,1694.75,0,1.19,1.56,0,0,2.96,0,0,0.9,0,329.84,0,0,39.6,0,1.78
 48-58,0,0,0,0,12.99,0,0,175.61,4.38,1.03,9.44,63.51,0.69,0,2.34,7.07,0,1.39,0,3.28,8.07,307.79,5.65,77.32,2644.4,0,4.39,4.37,0,0,3.13,0,0.37,0,0,350.45,0,1.42,52.66,0,12.68
 60-70,0,0,0,0,7.36,2.5,0,264.7,1.43,0,5.18,43.48,0.72,0,6.99,0,0,1.91,0,0,0,342.12,10,47.33,2183.58,6.21,5.79,7.42,0,1.23,12.69,0,0,0,0,276.42,0,10.67,56.38,1.73,3.32
 72-82,0,0,0,0,10.28,0.76,0,140.23,0,0,33.99,34.26,2.28,0,3.89,0.59,2.11,0.59,0,0,0,323.4,9.81,43.59,1468.46,0,2.57,3.07,0,2.64,0,0,0,0,0,94.35,0,8.25,91.13,14.12,0
 84-94,0,0,0,0,4.94,3.31,0,167.29,0.56,0,5.41,22.31,0.58,1.23,5.48,1.36,1.25,0,0,0,0,238.4,8,28.3,935.35,0,2.46,7.39,0,0,1.88,0,0,0,0,50.15,0,8.15,66.74,23.23,0
 96-106,0,0,0.74,0,14.11,1.54,0,88.64,0.71,0,14.61,16.72,0,0,3.55,0,0,0,5.75,10.33,0,229.16,9.13,44.83,753.81,0,1.27,3.34,0,8.55,0,0,0,0,0,31.09,3.18,1.5,103.43,15.01,0
108-118,0,0,0,0,1.44,1.29,1.73,96.22,0,0,9.39,43.05,0,0,5.37,1.17,0,0,0.9,1.81,0,292.03,9.98,18.38,719.22,0,0.86,1.99,0,5.61,0.51,0,0,0,0,24.73,0,5.89,82.55,13.73,2.16
120,0,0,0,0,30.7,8.42,0,184.54,0,6.38,9.76,31.58,0,0,0,0,0,0,0,0,0,196.23,0,23.83,1352.45,0,1.29,42.14,0,0,0,0,0,0,0,1.95,0,2.55,100.27,23.17,0
