stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.64,4.67,0,0,112.17,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,272.6,0,628.76,0,0,16.33,0,0,0,0,0,24.86,0,0,0,0,0,5.32,0,0,0,0,0,4222.11,215.47,0,0,9652.01,0,0,5.55,12.56,893.57,0,66.16,3.28,0,0,0,0,0
 14-21,11.21,0,2.26,539.35,66.38,0,0,4.16,0,104.07,58.84,8.73,0,0,1.56,0,0,0,0,208.14,0,0,129.49,247.81,92.17,0,0,383.9,0,1.52,0,750.52,0,18.76,253.17,1610.73,0,0,4.85,0,1.01
 24-34,0,0,3.02,46.13,0,8.14,0,14.32,9.9,155.11,17.49,0,2.35,0,0,0,0,0,4.82,182.64,0,0,160.74,303.38,13.2,1.88,0.77,0,0,13.41,0,0,1.75,18.18,71.68,1544.41,0,0,56.87,0,18.83
 36-46,0,0,0,20.65,0,27,6.2,10.42,21.38,150.55,2.69,0,0,1.03,0,0,0,0.59,17.86,341.91,0,4.6,154.22,518.09,5.25,0.6,0,0,0,7.35,0,4.87,0,17.43,2.43,3288.45,0,0,35.85,0,10.2
 48-58,0,0,0,4.2,0,94.15,11.86,7.35,38.54,166.62,0.83,0,0,0,0,0.47,0.44,14.64,4.33,336.11,0,15.4,122.85,597.75,8.54,0.85,0,0,0,3.6,0,0,0,5.76,0,3702.97,0,0.51,24.9,1.56,3.83
 60-70,0,0,0,4.2,0,55.64,0,8.99,32.88,190.65,1.48,0,0,0,0,0,0,1.56,10.85,254.21,0,19.91,69.92,292.05,10.5,0,0.82,0,0,5.84,0,0,0,7.5,0,2758.4,0,1.28,19,9.55,21.21
 72-82,0,3.25,0,15.46,1.33,56.02,3.03,4.42,68.06,253.14,3.3,0,0,0,0,0,0,0,6.12,236.99,0,30.61,44.76,329.28,3.56,2.02,1.04,0,0,3.89,0,0,0,4.64,0,1130.03,0,3.04,12.53,12.98,11.64
 84-94,0,3.52,0,12.34,0.61,59.21,3.83,6.2,47.19,227.76,11.16,0,0.97,0,2.87,11.53,0,0,17.17,210.89,1.03,29.86,49.26,232.04,2.53,2.7,0,0,0,2.85,0,0,0,1.78,0,906.94,0,2.91,16.75,9.27,15.79
 96-106,0,0.63,0,4.72,3.61,28.89,0,2.32,38.93,201.72,12.28,0,0,0.64,0,2.23,0,0,1.95,170.91,0,7.78,37.82,148.8,0.61,0,0,0,0.79,4.72,0,0,0,7.42,0,319.04,0,5.1,20.67,16.68,3.38
108-118,0,0,0,6.93,0,16.19,0,4.03,24.39,168.08,3.12,0,0,0.42,0,1.96,0,0,6.19,175.65,0,17.82,41.9,172.53,5.75,1.6,0,0,4.72,3.49,0,0,0,4.23,0,233.2,1.13,2.32,7.89,11.08,3.42
120,0,0,0,40.93,0,6.61,0,3.1,22.47,89.44,5.82,0,0,2.35,0,0,2.13,0,0,191.6,0,73.07,56.45,236.48,8.23,0,0,0,21.02,0,0,1.12,0,2.35,0,86.78,0,0,17.83,10.28,3.64
