stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,28.68,116.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.98,0,0,0,0,0,0,0,0
  5-6,0,105.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.73,0,0,0,0,0,0,0,0,0,0,4.79,0,0,0,0,0,0,0,0,63.75,0,0,0,29.89,0,7.32,0,0,0,0,0,0,0
 10-12,0,7.78,22.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.54,0,0,0,16.23,3.3,6.41,0,3.99,0,0,0,0,0
 14-21,0,0,0,3.61,1.03,4.74,0,1.17,0,0,0,0,0,6.71,0,0,0,2.72,0,2.36,38.37,1.13,0,0.8,15.28,0,0,4.75,0,6.79,13.6,0,0.82,0
 24-34,0,0,0,6.45,0,2.1,0,0,0,6.39,0,1.14,0,0,0,0,1.29,15.31,0,2.37,73.87,1.09,0,3.82,0,0,0,0,0,0,32.45,0,1.14,0
 36-46,0,0,0,0,0,21.53,0,0,0.78,0,0,0,0,0,0,0,0,17.24,0,2.83,63.27,6.41,0,0.61,0,0.58,0,0,0,0,26,0,4.18,0
 48-58,0,0,0,2.91,0,32.09,0.4,0.49,5.36,4.32,0,0,0,0,0,0,0,15.12,0,3.78,62.65,0.56,0,0.5,0,3.08,0,0,0,0,25.34,0,1.49,0
 60-70,0,0,0,0,0,21.25,0,0,0,10.63,2.05,0,0,0.59,0,0,0.93,15.77,0,3.04,58.5,0,1.95,7.86,0,0,0,0,0,0,8.13,0,0,0
 72-82,0,0,0,0,0,10.2,0,0,3.65,8.56,0,0,0,0,0,0,0,24.82,0,6.41,55.73,0,0,1.18,0,0,0,0,0,0,13.17,0.57,0,3.41
 84-94,0,0,0,0,0,14.24,0,0,0,2.14,0,0,0,0,0,0,0,11.76,0.86,3.46,47.28,0,0,0,0,1.77,0,0,0,0,7.92,0,0,0
 96-106,0,0,0,0,1.86,12.38,0,0,2.78,1.88,0,0,0,0,1.41,0.58,0,6.03,0,1.89,21.64,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,1.66,0,7.19,0,0,2.89,4.63,0,0,0,0.74,0,0,0,8.15,2.41,1.88,15.77,0,1.84,0,0,0,0,0,0,0,18.61,0,0,0
120,0,0,0,2.37,0,7.83,0,0,0,0,0,0,3.15,0,0,0,0,10.46,0,0,13.97,0,0,1.66,0,0,0,0,0,0,5.94,0,0,2.57
