stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,taste,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.83,0,0,0,0,0,0,0,0
 10-12,3.84,0,0,4.7,0,0,0,0,0,0,0,0,0,0,0,0,10.38,0,0,5.52,0,0,0,0,0
 14-21,0,17.74,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,14.21,0,0,0,4.42,0,0,0,0
 24-34,0,25.24,0,0.65,3.1,0,0,0,0,0,0,0,0,2.59,0.61,0,3.19,0,0,0,8.43,0.72,0,0,0
 36-46,0,14.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0,0,0,2.51,0,2.58,0,0.78
 48-58,0,28.71,0,2.07,0,0,0.78,0.89,0,0,0,0,4.01,0.73,0.63,0.7,17.86,0,0,0,2.87,0,1.07,0,0.47
 60-70,0,17.07,0,0,3.26,0,0,3.04,0,0,0,0,0,0,3.18,0,10.25,1.33,0,0,4.12,0,0,0,0
 72-82,0,10.64,0,3.23,0,0,0,0,0.56,0.53,0.63,0,0,3.36,0,0,4.78,0.53,0,0,4.22,0,0,0.56,0
 84-94,0,46.86,0.69,1.52,4.51,0,0,2.99,0,1.46,0,0,0,2.2,2.46,0,1.89,0.78,0,0,13.02,0,0,0,0
 96-106,0,13.2,0,0,6.06,0,0,1.43,0,3.84,0.86,0,0,0.57,0,0,7.61,1.03,0.93,0,20.18,0,0,0,3.88
108-118,0,31.77,0,0,10.39,0,0,4.6,0,3.79,0.99,1.71,0,1.79,3.66,0,2.52,1.38,0,0,25.56,0,0,0,0
120,0,26.45,1.46,0,4.64,12.97,0,2.3,0,1.89,4.2,0,0,4.75,0,0,5.3,1.7,0,0,27.91,0,0,0,0
