stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,77.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.93,108.95,0,8.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.59,0,0,0,10.03,0,8.13,0,0,0,0,0,0,0,0,0
  7-9,11.29,3.21,0,3.3,0,0,0,0,0,0,0,0,4.81,0,0,0,0,0,0,0,0,0,0,102,4.82,0,0,127.4,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.08,0,15.98,0,4.95,12.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220.26,48.81,0,0,191.48,0,0,3.96,17.38,0,0,0,0,0,0,0
 14-21,0,0,0,1.12,17.21,2.02,4.7,0,0.95,0,6.73,0,0,2.74,0,0,0,0,0,30.13,0,0,34.82,96.58,262.39,0,0,0,0,0,73.29,0,5.2,88.3,52.92,0,3.49,0,0
 24-34,0,0,1.05,0,6.52,0.62,7.47,0,0,2.08,2.79,0,0,1.48,0,0,0.66,0,0,52.78,0.69,0,25.66,69.08,44.47,3.6,0,0,0,0.71,0,0,0,7.24,35.03,0,5.34,0,0
 36-46,0,0,0,0,18.99,0,7.94,0,2.67,7.55,2.13,0,0,0,0.81,1.36,0.95,0,0,61.42,0,1.15,15.5,79.6,38.66,0,0.67,0,0,0.56,0,0,0,0,49.65,0,0.65,0,1.02
 48-58,0,0,0,0,5.52,0,13.93,0.44,3.16,7.76,21.99,0,0,1.31,2.19,0,0,0.48,0,124.73,0,3.39,14.64,69.34,16.43,0,2.12,0,0,0.47,0,0.47,0,0,46.84,0,7.22,0,0
 60-70,0,0,0,0,6.21,0,41.75,1.41,4.03,7.35,32.58,0,0,1.35,0.6,4.08,0,0,3.48,272.19,0,3.62,17.56,93.2,7.95,0,0.65,0,0,1.28,0,0,0,0,36.14,2.34,0,0,0
 72-82,0,0,0,0,5.96,0,46.71,0,2.2,21.39,35.02,0,0,2.94,0.55,0,0,0,0,345.69,0,12.01,15.33,95.4,5.19,1.45,0.69,0,0.72,1.2,0,1.19,0,0,6.24,6.56,2.46,10.17,9.51
 84-94,0,0,1.44,0,11.23,0,30.53,0,3.62,4.14,20.19,0.79,0,0,5.38,1.49,0,0,0,371.54,0,3.89,10.48,67.65,13.62,0,0,0,1.98,3.38,0,0,0,0,7.61,6.57,2.51,1.77,0
 96-106,0,0,0,0,9.05,0,49.7,3.21,2.18,4.78,29.84,0.86,0,0,1.43,1.31,0.57,0,0,163.84,0,3.73,12.48,74,2.72,1.63,2.05,0,1.33,3.86,0,0,0,0,4.24,2.46,3.21,2.95,0
108-118,0,0,0,0,10.43,0.64,65.74,0,6.1,4.31,30.89,0.61,0,0.88,1.7,0.95,0,1.86,2.47,157.61,0,7.72,6.48,67.27,5.17,0.45,1.5,0,3.07,4.51,0,0,0,0,11.56,1.44,0.85,2.27,6.96
120,0,0,0,0,7.43,1.71,89.43,0,1.11,0,57.87,0,0,0,1.92,2.67,0,0,0,139.85,0,4.76,7.11,124.48,4.51,0,0,0,18.59,0,0,0,0,0,12.69,2.71,0,2.54,0
