stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,periderm,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,41.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,25.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,3.28,0,0,0,0,0,0,0,0,0,0,0,7.34,0,18.25,0,0,0,0,0
 10-12,0,0,0,0,5.53,0,0,0,0,0,0,0,0,0,0,0,62.09,3.15,0,0,0,0,0,0
 14-21,0,0,107.5,10.84,0,0.91,0,0,1,2.99,0,0,0,57.69,0,4.81,2.99,0,0,0,0,4.25,0,0
 24-34,0,0,10.32,0,0.67,4.12,0,0,0,0,0,0,0,0,0,0.64,2.43,0,0,0.68,1.04,0,0,0
 36-46,0,0,13.06,0,0,0.83,0,0,0,0,0,1.57,0,0.76,0,2.72,0,0,0,2.4,0.71,0.75,0,0
 48-58,0,0,1.57,0,0,6.62,0,0,0.38,0.6,0,0,0,3.06,0,0,0.69,0,0,1.24,0,0,0,0
 60-70,0,0,2.72,0,0,0.59,0,0,7.79,0,0,0,0,1.42,0,0,11.17,0,0,1.98,0,0,3.84,0
 72-82,0,2.83,0.98,0,6.57,0,0,3.16,2.97,0,0,0,3.53,5.1,0,0.68,5.38,0,0,0,0,0,0.59,0
 84-94,0,2.09,3.69,0,1.01,2.02,0,0,11.64,0,0,0,1.49,10.59,2.22,0,5.99,0,0,1.69,0,0,0.89,0
 96-106,0,1.14,3.7,0,10.27,1.72,0.63,0,23.27,0.73,0,0,13.02,19.38,1.88,0.71,2.07,0,0,6.89,5.15,0,3.33,0.8
108-118,0,0.92,4.12,0,0,0.57,0,9.2,20.37,0,0.47,0,0.45,17.8,0,0,5.38,0,0,0,0,5.94,0,0
120,0,0,4.6,0,0,4.2,0,0,7.02,4.91,0,0,0,10.68,0,0,20.14,0,0,1.34,0,10.6,0,0
