stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,14.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,57.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.52,0,0,0,4.47,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,8.73,11.19,7.03,1.08,0,11.88,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,44.61,0,0,0,0,0,0,0,0,32.66,0,0,0.98,0,1.36
 24-34,0,0,0,5.93,0,0.6,0,61.41,0,0,0,0,1.28,1.56,0,0,0,0,2.04,0,1.32,0,0,557.21,0,22.45,0,0,0.99,0,0,0,118.44,0,0,27.48,0,0.6
 36-46,0,0,2.93,0,0.94,0,0,99.46,0,0,0.56,13.58,0,2.96,0,0,0,0,0.72,7.79,4.73,0.63,0,1617.32,0,14.03,0,0,0,2.92,0,0,232.86,0,0,3.38,0,0
 48-58,0,0,2.77,0,4.06,2.59,0,261.48,0,1.85,5.71,79.17,0.81,0.39,0,0,0,0,6.1,5.05,23.99,0.95,2.37,2737.39,1.42,5.38,1.14,0,0,3.47,0,0,377.6,0,0,8.3,0,9.32
 60-70,0.64,0,0,0,0,1.77,0,808.3,0,0,0,102.53,0.62,1.07,0,0,0.6,0,8.68,0,41.67,8.12,0,3050.32,0,2.22,0,0,0,10.45,0,1.35,395.87,0,0,6.89,0,0
 72-82,0,0,3.46,0,26.76,3.13,0,1440.77,0,0,0.61,125.78,3.48,1.04,0,0,0,0.65,0,0,70.65,4.73,2.31,2406.31,0,9.03,5.25,0,0,6.55,0,0,247.96,2.01,12.89,6.39,2.42,15.4
 84-94,0,0,4.54,1.73,17.56,0.63,0.8,1176.16,0,0,0,103.02,10.64,2.61,0.91,0,0,0,0.6,0,46.73,13.45,4.18,1472.41,0,3.85,3.57,0,0,5.28,0,0,144.75,0,5.24,4.27,1.13,5.98
 96-106,0,0,3.68,2.08,5.14,10.92,1.5,1130.32,0,1.74,0,117.67,1.43,4.43,2.43,0,0.63,0,14.83,0,47.24,10.34,2.67,1211.79,0,4.89,2.87,0,0,11.54,1.35,0,44.18,2.22,5.95,11.37,6.6,20.04
108-118,0,0,7.11,1.18,17.57,6.16,0.56,1084.72,1.47,0.7,0,167.02,2.39,2.82,1.29,1.07,4.51,0,3.48,0,50.64,19.48,7.22,1559.39,0.46,4.2,2.62,0,0,0,0,2.35,65.41,0,0,7.81,4.65,0.51
120,0,0,1.43,0,17.86,16.3,3.57,799.11,0,1.55,0,269.89,2.04,3.24,0,1.48,1.91,0,0,0,51.68,37.49,1.27,2070.23,3.89,5.07,1.5,0,0,0,0,2.34,82.53,0,8.19,15.41,24.26,0
