stage,blastomeres,endoderm,eye,fin_epithelia,glial,heart,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,periderm,pronephros,spinal_cord
  3-4,9.47,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.53,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,10.83,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,21.27,0,20.3,0,0,0
 14-21,0,0.87,0,0,0,0,0,0,3.9,0,0,0,0,0.93
 24-34,0,0,0.73,1.38,0,2.08,0,0,22.63,0.6,0,0,0,2.16
 36-46,0,0,0.8,0,0,0,1.11,0.72,13.73,0,0,2.49,0,4.42
 48-58,0,0,3.21,0,2.92,0,0,0,12.35,0,0,0,0,0
 60-70,0,0,3.6,0,2.68,0,4.15,0,6.41,0,0,0,0,0.96
 72-82,0,0,3.5,0,0,0,0.53,0,6.48,0,0,0,0,0
 84-94,0,0,13.72,0,0,0,1.73,0,3,0,0,0,0,3.2
 96-106,0,0,4.27,0,0,0,0,0,1.27,0,0,0,0,0
108-118,0,0,0.82,0,0,0,0,0,0.51,0,0,0,0.99,0
