stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,143.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,37.48,0,0,0,13.54,0,0,0,0,0,0,0
 10-12,0,3.88,0,0,0,6.63,0,0,0,0,3.06,0,0,0,0,0,32.79,0,0,0,0,0,4.63,0,0,0,0,0
 14-21,0,0,2.58,0,1.08,1.52,0,0,0,0,0,0,0,0,0,1.08,5.55,0.82,0,0,0,0,0,3.93,0.85,0,0,0
 24-34,0,0,0,0,0,0,0,0.63,0,0.63,0,0,0,0,0.74,0.87,11.51,0,1.36,0,0,0,0,0,0,1.16,0,0
 36-46,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.56,0.68,5.53,0,0,0,0,0,0,0,2.03,0,0,1.26
 48-58,0,0,0,0,0,0.5,0,0,0,2.39,0,0.58,0,0.8,3.89,1.77,1.5,0,0,0.37,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,7.97,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,4.25,0,0,0.8,0.61,0,0,0,0,0,2.06,0,6.78,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0.84,1.01,0,0,1.25,0,0.98,0,0.66,0,0,0,0,0.98,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,1.66,0,0,0,0,0,7.3,1.66,8.62,0,0,1.78,0,0,0,0,0,0,1.71,0
108-118,0,0,0,1.27,0,3.55,1.21,0,0,0,0,0,0,0,1.06,0,3.07,0,0,0,0,4.96,0,0,0,0,0,0
120,1.12,0,0,2.99,0,0,0,0,0,0,0,0,0,0,0,0,3.49,0,2.28,0,0,1.95,0,0,0,0,0,0
