stage,glial,muscle,neural,paraxial.mesoderm,somites
 14-21,0,3.59,0,1.8,0.91
 24-34,0,0,1.05,0,0.62
 36-46,1.47,0,0,0,0
 48-58,0,0,1.64,0,0
 72-82,0,4.58,0,0,0
 84-94,0,0,5.24,0,0
