stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,xanthophores
  5-6,0,29.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.24,4.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.86,17.9,0,9.34,8.6,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.65,9.7,0,0,0,0,1.79,0
 24-34,0.88,0,0,0,0,33.98,0,0,0,0,0,0,0,0,0,0,0,0,0.75,11.17,0,0,0,0,0.73,0
 36-46,0,0,0,0,0,33.71,0,6.48,0,0,0,0,0,0,0,0.83,0,0,0,5.43,0,0,0,0,1.7,0
 48-58,0,0,0,0,0,97.39,0,0,0,0.63,0,0,0,0,0,0,0,0,0,4.65,0,0,0,0,1.08,0
 60-70,0,0,0,0,0,438.03,0,0,0,0,0,0,0.58,0,0,0,0,0.63,0,7.88,0,0,0,0,1.09,0
 72-82,0,0,0,2.24,0,723.17,0.55,0,1.09,2.44,0.89,0,0,0,0,9.18,0,0,0,5.5,0,0,0,0,0,6.26
 84-94,0,0,0.73,3.01,0,958.2,0,0,0,0,0,0,0,0,0,6.28,0,0,0,13.44,0,0.8,0,0,0,0
 96-106,0,0,0,5.18,5.4,860.75,4.3,0,0,1.1,0,1.69,0,2.1,0,1.79,3.89,0,0,8.02,0,3.62,0,0,1.71,0
108-118,0,0,0,1.94,0.99,849.6,0,0,0,3.71,0,0,0,0,0.6,13.74,1.38,0,0.5,21.54,0,0.41,0,0,0,0
120,0,0,0,15.57,0,1708.1,0,2.21,0,0,0,0,4.13,0,0,3.15,0,0,4.99,44.99,0,0,0,2.04,0,0
