stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,spinal.cord,taste,visceral.smooth.muscle
  3-4,15.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.4,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.8,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.29,12.59,0,19.58,0,0,0,0
 14-21,0,1.03,0,0,0.83,0,0,0,0,0,0,0,0,0,3.32,0,0,0,12.59,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.62,0,0,0,21.15,0,0,0,37.96,1.36,0,0
 36-46,0,0,0,0,0.63,0,0,2.07,0,0,0,8.2,0,0.77,13.93,0,0,0,32.29,1.33,0,0
 48-58,0,0,0.49,0,7.44,0,0,8.93,0,0,0,2.55,2.92,0,16.37,0,0,0,18.22,4.41,0,0
 60-70,0,0,0,0,1.71,0,0,5.71,0,0,0,8.97,0,0,8.94,0,1.8,0,15.54,6.27,0,0
 72-82,0,0,0,0,3.14,0,0,2.26,0,0,0,0.63,0,0,11.79,0,0.98,0,26.38,0,0.62,0
 84-94,0,0,0,5.88,0.63,5.22,0,8.36,0,0,0,0.58,0,0,7.18,0,0,0,31.08,0,0,0
 96-106,0,0,8.17,0,0,0,0,0.57,1.62,0,0.94,1.55,0,0,23.45,0,3.47,0,41.84,0,0,1.67
108-118,0,0,1.02,0,0.79,0,1.15,0,0,1.29,1.7,6.07,0,0,10.23,0,0,0,36.96,0,0,0
120,0,0,13.19,0,2.82,0,0,0,0,0,0,0,0,0,19.42,0,0,0,38.37,0,0,0
