stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,12.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,31.7,79.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.2,0,0,0,5.85,0,0,0,0,0,18.8,0,0,0,0,0,0,0,0,0,0,0,116.83,0,0,0,21.71,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.72,0,7.85,0,11.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.16,0,0,0,43.31,0,0,0,11.13,0,5.3,0,0,0,0,0
 14-21,0,0,0,10.26,1.66,0,0.99,0,0,0,3.91,0,0,0,0,0,0,0,2.66,0,2.94,0,0,2.1,51.08,0,0,0.94,2.73,0,0,6.98,0,1.34,18.87,33.08,0,0.85,0,0
 24-34,0,0,0.86,8.47,1.09,0,8.86,0,0,0,2.77,0.64,0,0,0,0,0,0,0,1.07,9.33,0,0,3.88,64.5,3.12,2.32,0,0,0,3.36,0,0,0,2.1,21.29,0,5.32,0,0
 36-46,0,0,0.56,1.48,0,0,12.94,0,4.64,0,1.63,0.67,0,9.47,0,2.47,0,0,1.51,0,9.19,0,0,6.09,91.21,0,2.85,0,0,0,19.27,0,3.56,0,0,29.5,0,0.91,0,0
 48-58,0,0,0,3.99,2.2,0,14.45,0.62,0,0,7.02,0,0,0.91,0,1.08,0,0,0,0,12.03,1.17,0,2.24,68.64,0,2.07,0.38,0,0,8.97,0,0,0.94,0,12.04,0,4.89,0,0
 60-70,0,0,0,8.09,2.92,0,24.63,0.99,3.29,0,0.8,0.84,0,0,1.17,0,0,0,0,0,10.22,0,0,1.32,74.2,0,2.3,0.63,0,0,9.77,0,0,0,0,4.43,0.8,3.16,0,0
 72-82,0,0,0,0.68,0,0,22.3,0,0,1.58,1.48,0.97,0,0,0,0.66,0,0,0,3.31,22.1,0,0,3.6,42.85,0.91,1.59,0,0,2.35,4.39,0,0,0,0,15.02,0,1.09,0.51,0
 84-94,0,0,0,2.55,0,0,13.35,0,2.44,0,11.93,1.13,0,0,0,0,0,0,0,2.66,35.22,0,0,5.13,51.5,0,3.29,0,0,0,21.2,0,0,0,0,6.46,0,0,1.09,1.29
 96-106,0,0,0,0.73,4.07,0,17.45,0,1.03,4.79,8.82,0.96,0,4.53,0,0.63,2.85,1,0,0,17.89,0,1.32,5.16,75.18,0,4.41,0,0,0,15.54,0,0.6,0.62,0,0,0,3.03,3.87,0
108-118,0,0,0,6.78,0,0,35.14,0,2.16,0.57,14.49,0,0,0,0.76,2.16,6.88,2.01,4.34,2.22,22.61,0.42,1.08,2.63,60.29,0,7.43,1.76,0,0,25.08,0,0,0,0,2.25,0.67,12.98,0,0.79
120,0,0,0,13.42,0,1.09,10.57,0,1.25,0,47.46,2.95,0,0,1.28,1.65,0,0,0,0,29.86,0,4.76,4.87,177.28,1.17,10.18,0,0,0,13.04,0,0,0,0,0,0,4.11,0,0
