stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,195.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,277.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.48,0,0,0,6.9,0,0,0,0,0,0,0,0,0,0
  7-9,18.03,0,0,0,0,62.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252.01,5.47,0,0,80.51,0,0,0,0,0,0,0,0,0,0
 10-12,24.86,41.51,0,0,0,36.79,0,0,0,0,0,25.97,0,0,0,0,0,0,0,0,0,0,281.89,14.86,0,0,93.48,0,9.77,0,9.6,0,0,0,0,0,0
 14-21,0,0,12.42,8.09,0,7.8,0,0,0,0.89,0,0,0,0,0,0,0,0,0,3.83,0,2.52,64.16,0,1,0.86,0.82,0,2.14,10.37,0,9.29,8.31,20.07,0,0,0
 24-34,0,0,2.14,0,0,12.1,0,0,0,2.94,0,0,0,0,0,0,0.63,0,0,15.94,1.66,1.39,145.75,2.2,0,0,0,0,1.94,0,0,5.84,0.67,27.37,5.63,0,0
 36-46,0,0,0,0,0,24.94,0,0,0,4.98,0,0,0,0,0,0,0,0,0.79,7.01,0,6.28,211.54,0,0,0,0,0,7.67,0,0,0,0,27.96,0.76,0,0.71
 48-58,0,0,6.02,3.25,0,58.01,1.49,0,4.63,8.22,0,0,0.42,0,0.42,2.03,0,0,0,6.27,0,1.87,130.1,3.49,0,1.68,0,0,0,0,0,0,0,21.11,1.91,0,2.27
 60-70,0,0,0,0,0,44.35,0,0,0,10.14,7.11,0,0,9.05,8.09,10.22,0,1.41,6.77,21.37,0,2.01,172.42,0,0,2.13,0,0,0.67,0,0.97,0,0,9.43,2.72,0,0
 72-82,0,0,2.45,0,0,35.62,0,0,0.92,7.33,0,0,1.72,0,0,0,0,0,0,13.49,1.19,2.26,85.25,0,1.07,0,0,0,1.94,0,0,0,0,27.47,5.52,0,0
 84-94,0,0,3.17,0,0,19.11,1.16,0,0,12.76,0,0,0,0.73,0,0,0,0,0,15.02,0,9.15,32.54,0,0,1.82,0,0,1.51,0,0,0,0,6.77,3.05,3.56,0
 96-106,0,0,4.79,6.77,0,11.36,0,0,0,5.67,0,0,0,0.65,0,0,0,1.13,0,4.57,0,5.12,49.11,0,0.57,1.26,0,4.17,3.2,0,0,0,0,5.08,0.64,0,1.06
108-118,0,0,3.68,0.56,0.65,27.31,0,0,0,8.63,1.49,0,0,3.07,0,2.67,0,0.6,0,12.03,0,1.11,27.39,0,1.17,0,0,0,3.39,0,0,0,0,0,0,0,0
120,0,0,6.9,2.21,0,14.58,0,1.84,6.71,5.26,6.94,0,0,1.53,0,0,0,0,0,3.38,0,1.11,91.69,0,5.84,0,0,0,12.13,0,0,0,0,1.19,0,0,0
