stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,hatching_gland,neural,otic,paraxial_mesoderm,periderm,spinal_cord
  3-4,0,60.06,0,0,0,0,0,0,0,12.25,0
  5-6,22.46,59.2,0,0,0,8.74,0,0,0,0,0
  7-9,5.75,8.22,0,0,11.25,0,11.09,0,3.7,0,0
 10-12,0,0,0,0,0,0,4.61,0,0,0,0
 14-21,0,0,1.09,0.95,0,0,4.16,0,0.84,0,0
 24-34,0,0,0,0,0,0.81,0,0,0,0,1.92
 36-46,0,0,0,0,0,0,0,0,0,11.38,0
 96-106,0,0,0,0,0,0,0,0,0,0.8,0
108-118,0,0,0,0,0,0,0,0.66,0,0.41,0
