stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,79.4,876.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.81,0,0,0,0,0,0,0,0,0,0
  5-6,36.61,380.97,0,0,0,0,0,0,0,0,0,0,16.25,0,0,0,0,0,0,0,0,0,0,15.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.23,0,0,0,0,0,7.17,0,0,0,0,0,3.6,0,0,0,0,0,0,0,0,0,0,105.55,0,0,0,28.42,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,7.32,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.75,7.85,0,0,193.88,0,0,0,0,0,28.72,0,0,0,0,0
 14-21,0,0,0,0,21.71,6.1,1.33,0,0,0,394.96,2.55,0,1.91,0,0,0,0,0,0,6.49,0,11.34,217.82,13.01,24.24,23.72,17.39,0,1.58,97.23,152.38,110.98,275.79,869.09,0,0,0.85,0
 24-34,0,0,0,0,8.73,0.62,6.86,0,0,0,329.74,0,0,0,0,0,0,2,5.54,1.23,18.35,0,14.02,264.78,2.77,113.06,39.68,0,1.37,0,0,200.2,5.29,24.92,634.16,0,0,0,0
 36-46,0,0,0,0,1.8,0,8.51,2.35,0.58,0,202.87,0,0,0,0,0,0.56,2.16,0.85,0,2.09,0,6.22,351.78,2.75,85.4,17.81,0,0.58,1.59,0,112.25,3.35,1.53,500.18,0,0,0,0
 48-58,0,0,0,0,0,0,48.89,0,0,1,228.88,0,0,0.82,0,0,0,3.99,0.63,0,4.6,0,7.79,278.06,0,71.52,18.34,0,1.21,0,0,45.37,7.07,0,464.6,0,0,0,0.47
 60-70,0,0,0,0,0,0,35.32,1.17,0,0,132.69,3.69,0,0,0,0,0,19.82,0,0,12.16,0,2.04,210.7,0,80.1,50.31,0,0,0,0,22.68,5.54,0,275.64,0,0,0,0
 72-82,0,0,6.06,0,0,0,58.91,2.27,1.27,0,169.05,3.4,0,0,0,0,0,21.1,0,0,12.74,0,2.13,196.26,0,156.23,72.03,0,0,0,0,12.4,1.78,0,176.84,0,0,0.79,0
 84-94,0,0,5.56,4.08,1.7,0,51.79,1.43,0,0.64,151.02,3.1,0,0,0,0,3.98,32.2,0,0,7.64,1.41,5.69,135.91,0,204.81,129.22,0,0,0,0,47.56,0.64,0,149.9,0,0,0,0
 96-106,0,0,1.14,7.94,8.87,0,89.69,1.56,0,0,130.59,0.71,0,0,0.74,0.9,0,57.96,0,0,13.46,0,6.03,86.66,0,257.28,134.16,0,7.47,0.85,0,22.66,1.6,0,159.95,0,1.22,0,0.8
108-118,0,0,1.61,7.56,5.11,0,49.52,0.64,0,0,120.75,0,0,0,0,0,5.25,35.36,6.27,0,9.54,4.08,4.22,181.29,0.5,204.3,106.78,0,0,0.63,0,23.27,2.19,0,122.94,0.67,0,2.24,3.17
120,0,0,3.64,12.69,1.59,1.63,41.97,0,0,0,48.48,1.66,0,0,3.53,2.58,2.23,52.64,0,0,15.59,0,10.2,225.13,0,197.11,163.32,0,0,1.53,0,44.39,3.11,0,95.33,0,1.52,1.23,0
