stage,axial,blastomeres,endoderm,epidermis,eye,fast_muscle,glial,gut,immune,iridophores,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.79,11.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.79,7.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,8.31,0,0,0,0,0,0,0,0,16.12,0,0,0,17.81,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.44,0,6.53,0,5.21,0.98,0,0,6.65,0,0,0,0,0
 24-34,0,0,0,0,5.41,0,0,0,0,0,0,3.58,0,59.32,0,3.79,1.34,0,0,14.94,0,0,0,0,0.61
 36-46,0,0,0,0,2.21,0,0,0,0,0,0,0,0,139.35,0,18.08,0,0,0,39.06,0,0,0,0.78,0
 48-58,0,0,0,2.73,20.31,0,5.53,0,0,0,0,0.6,7.48,215.28,0,4.03,3.59,0,0,38.85,0,0,0,0,0
 60-70,0,0,0,0.76,82.77,0,4.34,0,8.18,0,0,2.02,0,449.56,0,7.74,1.26,0,0,26.78,0,0,0,0,0
 72-82,0,0,0,0,197.49,0,9.9,1.12,0,1.42,0,8.68,0,595.23,0,19.77,0,0,0,66.29,0,0.56,0,0.61,0
 84-94,0,0,0,0.87,98.71,0.92,1.94,0,7.1,2.83,0,10.26,0,350.31,0,9.42,1.22,0,2.62,19.55,0,5.69,0,0,0
 96-106,0,0,0,0.73,72.92,0,8.01,0,1,0,0,4.84,0,334.66,0,9.8,6.14,0,0,19.05,0.62,1.75,1.23,1.42,0
108-118,0,0,0,1.41,79.37,0,5.46,0.7,0,0,5.31,4.01,0,430.26,0.43,16.12,7.27,0,0,7.46,0,1.25,0,0.55,0
120,0,0,0,1.8,91.5,6.39,0,0,0,0,0,0,0,782.07,0,0,1.86,0,0,10.47,0,0,0,8.42,0
