stage,blastomeres,eye,fin_mesenchyme,hatching_gland,iridophores,mesenchyme,muscle,neural,spinal_cord,xanthophores
  3-4,55.29,0,0,0,0,0,0,0,0,0
  5-6,8.9,0,0,0,0,0,0,0,0,0
  7-9,0,4.54,0,0,0,0,0,11.22,0,0
 10-12,0,0,0,3.03,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,2.15,0.81,0
 24-34,0,0,0,0,0,0,0.72,0,0,0.7
 48-58,0,0,0.57,0,0,0,0,0,0,0.54
 60-70,0,0,0,0,0,0,0,0,0,0.94
 72-82,0,0,0,0,2.1,0,0,0,0,0
 84-94,0,0,0,0,1.38,0,0,0,0,0.86
 96-106,0,7.44,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.6,2.12,0,0,0,0
120,0,0,0,0,0,17.61,0,0,0,0
