stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,76.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.03,0,0,0,0,0,0,0,0,0,0
  5-6,12.55,72.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.61,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.64,0,0,0,4.49,0,17.12,7.7,0,0,0,0,0,0,0,0,0
 10-12,0,3.65,0,10.85,0,0,0,12.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.09,0,0,0,18.79,0,15.39,0,0,5.98,0,0,0,0,0,0,0
 14-21,0,0,0,0,62.8,0.9,0,21.1,0,0,0,0,2.2,0,12.42,2.81,0,0,8.14,0.92,0,0,7.68,50.77,0,0.83,0.95,0,0,26.57,0,1.58,0,3.52,10.1,0,0,0,0,0
 24-34,0,0,0.8,0,132.03,10.25,0,79.93,5.42,1.23,0,0,0,0,41.9,2.25,0,0,18.6,16.46,0.65,0,6.73,97.63,0.97,1.52,1.99,0,0,19.62,0,0,0,0,14.16,0,0,5.13,0,0
 36-46,0,0,0,0,143.24,0,0,66.38,30.02,0.64,0,0,0,2.07,69.22,0,0,0,0,9.21,0.95,0,1.18,65.74,0,1.94,0,0,0,7.2,0,0,0,0,10.57,0,0,1.47,0,4.18
 48-58,0,0,0,0,90.19,0,0,177.45,25.3,0.76,21.92,0,0,0.77,69.58,0,0.39,0.39,0,19.23,0.38,0,10.02,88.89,0.44,1.15,0.88,0,0,7.02,0,0,0,0,19.88,0,0,7,0,0
 60-70,0,0,0,0,142.42,0,0,263.95,15.63,0,17.71,0,0,0,67.89,15.85,3.5,0.72,0,28.99,2.41,0.7,4.84,94.64,0,0,0,0,0,5.92,0,0,0,0,18.21,0,0,2.17,0,0
 72-82,0,0,0,0,78.2,0,0,192.16,20.71,5.63,12.87,2.24,0.86,0,78.18,2.71,5.46,1.57,0,70.56,1.96,1.07,3.05,121.67,0,0.51,1.93,0,2.23,1.65,0,0,0,0,7.58,4.67,0,6.43,2.26,0
 84-94,0,0,0,1,123.62,10.43,0,148.45,35.2,4.95,12.85,2.57,1.29,0,106.74,0,2.54,1.52,0,63.44,2.09,4.21,0.6,62.14,0,0.71,0,0,0,4.14,0,0,0,0,0,2.15,0.9,6.37,0,0
 96-106,0,0,0,0,98.02,0.72,0,138.09,18.12,5.98,13.22,8.91,0,0,139.03,0.87,0.57,2.3,0.59,54.74,0.76,1.29,7.88,36.11,0,3.36,0,0,0,5.42,0,0,0,0,0,0.58,1.94,10.96,0.88,0
108-118,0,0,0,0,124.21,0.66,3.23,125.13,35.91,1.84,11.12,11.7,0,0,117.91,1.86,15.1,4.83,0,64.09,0.81,0,4.51,59.26,0,2.51,2.26,0,0,8.01,0,0,0,0,4.14,1.35,0.99,8.01,1.39,0
120,0,0,0,2.55,174.25,4.75,0,89.38,18.79,0,15.63,13.89,0,0,157.4,0,0,3.58,23.22,75.55,1.49,0,0,76.49,0,5.91,11.61,0,0,6.23,0,0,0,0,0,6.78,0,20.31,0,0
