stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,81.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,6.05,0,0,0,4.94,0,0,0,0,0,18.06,0,0,0,0,0,0,0,0,0,0,0,37.38,0,0,0,3.72,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,35.35,0,0,0,13.05,0,0,0,0,0,58.41,0,0,0,0,0,0,0,0,0,0,0,73.42,3.56,0,0,10.22,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,15.19,0.99,0,6.05,0,0,0,2.4,0,0.91,0,0,0,0,0,0,0,4.74,0,0,3.57,489.85,2.07,0,0,0,0,2.05,0.84,0.88,7.92,234.15,0,0,0,0,0
 24-34,0,1.65,0,6.8,0,0,22.36,0,0,0,3.37,0,2.95,0,0,0.85,0,1.38,0,0,7.4,0,0,2.13,2196.46,0,3.79,2.22,0,0,4.25,0,0,2.82,437.63,0,0,0,0,0
 36-46,0,0,0,1.28,0,0,196.23,0,0,0,40.32,0,1.26,0,0,0,0,0,0,8.11,26.54,0,0,7.06,5556.51,0.71,14.09,14.77,0,2.1,1.94,0,0,0,890.39,0,1.37,4.3,0,0.68
 48-58,0,1.87,0,8.18,0,0,773.91,0,0,1.01,123.37,0,0.37,0.44,0.53,0,0,0.54,0,8.64,46.45,0,1.67,7.46,6938.29,0.91,8.1,2.13,0,0,8.51,0,0,0,1054.93,0,0.51,3.88,0,11.06
 60-70,0,0,0,15.06,1.55,0,2647.94,0.89,0,3.26,190.72,0,0,0,2.33,2.84,0,1.52,0,7.36,42.41,2.2,0,4.64,7429.52,10.61,15.49,8.5,0,0,8.48,0,0,0,790.74,0,0,0.84,0,25.08
 72-82,0,1.44,0,21.79,4.75,0,2904.06,0.55,5.41,13.74,166.99,0,0,2.66,7.83,0,0,3.31,1.08,2.82,68.15,3.32,4.86,10.8,3997.06,0,9.14,15.94,0,0,1.24,0,0,0,291.12,0,2.56,11.93,6.78,17.31
 84-94,0,0,0,19.05,5,0,2292.06,0,0.56,1.75,154.33,1.29,0,0,4.79,10.2,2.01,0,3.26,0,39.56,0,2.5,7.78,2557.21,0.89,10.18,17.51,0,2.65,9.25,0,0,0,150.06,4.74,3.44,0,4.94,3.09
 96-106,0,3.62,0,15.44,7.15,0,1873.85,1.98,1.3,0,132.68,3.93,0,1.16,2.92,0,2.36,2.87,0,0,43.88,0,8.96,0,1856.44,0,17.27,14.06,0,2.93,7.03,0,0,0,69.85,5.01,0,2.92,10.68,2.97
108-118,0,1.28,0,27.13,0,2.97,1629.32,0,0.47,7.03,153.88,0.5,0,0.49,5.33,0.86,0,7.99,1.68,0,67.65,1.71,1.19,2.54,2478.14,0,14.19,22.06,0,0,4.95,0,0,0,60.28,2.53,2.06,5.04,2.84,0
120,0,2.96,0,63.89,6.83,0,1581.26,0,0,19.11,232.85,4.3,0,0,8.14,0,0,1.13,0,0,41.87,0,2.35,0,3014.48,5.26,13,26.02,0,0,16.46,0,1.64,0,127.87,0,0,4.69,0,13.04
