stage,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,otic,pericytes,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1.07,1.89,0,0,0,0,0,0,0,0,0,0,0,0,3.01,0,0,0,0,0,0,0,0,0
 24-34,0,0,2.7,0,0,0,0,0,0,0,0.92,0,2.88,0,0.73,29.49,0,0,0,0,0.9,0,0,0,0
 36-46,0,0,3.43,0,0.81,0.56,0,0,0,0,0,0,3.15,0,0,203.19,1.47,0,1.69,0,4.3,0,0,0,0.85
 48-58,0,0,15.24,0,0,0.59,0,0,0,0,0,0,11.15,0,1.25,170.31,0,0.45,0,0,8.99,0,0,0,0
 60-70,1.1,0,36.22,0,0.57,9.53,0,0,0,0,0,0,17.02,0.89,1.61,343.86,0.58,0,0,0,13.5,0,0,0,0
 72-82,0,0,41.31,0,5.02,7.55,0,0.59,0,0,0.57,0,39.4,0.72,0,434.59,0,0,0,0,13.66,0,0,5.48,0
 84-94,0.8,0,54.54,0,0,3.7,0,0,0,0,0.56,0,44.89,0,3.34,316.64,0,4.88,0,0,3.99,0.57,0.57,9.3,0
 96-106,0,0,35.42,0.57,4.51,0,0,0,0,1.04,0,1.02,25.31,0,2.39,268.06,0,0,0,0,5.3,0,0,1.58,0
108-118,0.93,0,67.06,0.84,4.36,14.91,0.43,0,0,0,0.7,0.43,34.94,0,2.07,384.53,0,0,0,1.79,1.43,1.82,0,4.27,0
120,0,0,32.95,0,0,1.81,0,0,4.46,0,0,0,20.77,0,3.76,299.71,0,0,0,0,7.32,0,0,3.04,0
