stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,0,94.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.03,0,0,0,0
  5-6,26.54,116.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,5.39,0,0,0,0,0,0,0,0,0,0,9.39,0,0,0
 10-12,0,0,0,5.73,0,0,0,0,0,6.02,0,0,0,0,101.53,3.39,0,0,6.55,0,0,0,0,0
 14-21,0,0,0.8,1.14,1.07,0,0,0,0,4.94,0,1.92,0,0,0,0,0,0,0,0,0,0.85,0,0
 24-34,0,0,0,0,0.7,0,0.81,0,0,0,0,0,0,0,25.84,0,1.32,0,0,0,0,8.33,0,0
 36-46,0,0,0,0,0,0,1.5,0,3.65,0,0,1.01,0,0,102.21,0,2.86,0,0,0,0,15.95,0,0
 48-58,0,0,0,0,0,0,11.18,0,0,0,0.44,0,0,0,138.38,0,0.41,0,0,0,0,25.79,0,0
 60-70,0,0,0,0,5.97,0,92.77,0,8.21,0,0,4.25,0,0.59,299.51,0,0,0,0,0,0,40.95,0,0
 72-82,0,0,0,0,0,0,88,0,1.48,0,0,10.43,0,0.78,99.79,0,0.74,0,0,0,0,6.35,0,0
 84-94,0,0,0,0,0,0.7,40.1,0,1.11,0,0,4.44,0.6,0,93.3,0,0,1.18,0,0,0,17.07,0,0
 96-106,0,0,0,0,0,0,43.4,2.11,3.87,0,0,3.17,0,0,60.71,0,0,0,0,0,0,2.33,0,0
108-118,0,0,0,0,0,0,65.31,0,0,0,0,0.81,0,0,102.58,0,0,1.29,0,0,0,7.79,1.82,0
120,0,0,0,0,0,9.24,53.57,0,17.01,0,0,1.25,0,0,158.41,0,0,0,0,0,0,0,0,1.54
