stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,glial,gut,iridophores,lateral_line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  5-6,63.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,5.73,0,0,0,0,0,0,0,9.73,0,0,0,7.76,0,0,0,0,0,0,0
 10-12,0,0,0,6.18,0,0,0,0,0,0,0,0,20.49,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.65,0,0,0,0,0,0,0,2.8,3.46,5.83,0,0,0,0,0,1.12,1.38,8.34,0,0,0
 24-34,0,0,0,0,1.04,0,0,0,0,0,3.53,1.34,24.48,0,0,1,0,0,0,0,3.01,0,0.81,0
 36-46,0,0.95,0,0,4.66,1.2,0,0,0,0.61,0.75,1.88,36.08,0,0,0,0,0,0,0,3.77,0,4.62,0.67
 48-58,0,0,0,0,4.63,2.39,0,0,0,0,3.52,0.61,40.97,0,0.95,0,0,0.47,0,0,5.63,0,0,0
 60-70,0,0,0,0,1.04,0,0,0,0,0.71,1.49,0,32.16,5.55,3.44,0,0,0,0,0,7.44,0,0,0
 72-82,0,0,0,0,2.85,0,0,0,0,0,1.13,0,38.35,0,3.59,0,0,0,0,0,10.29,0,0,0
 84-94,0,0,0,0.58,13.02,0,0,0,0,0,5.4,0,21.52,0,0,0,0,0,0,0,5.51,0,0,0
 96-106,0,0,0,0,4.84,0,0,1.14,1.34,0,0.59,0,33.02,0,0,0,0,0,0,0,2.88,0,0,8.85
108-118,0,0,0,0.57,0,1.01,0.53,0,0,0,3.98,0,6.09,0,0,0,0,0,0,0,0,1.3,0,0
120,0,0,0,0,26.91,0,0,0,0,0,0,0,32.44,0,0,0,0,0,0,0,0,0,0,0
