stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,142.88,2055.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.09,0,0,0,0,0,0,0,0,0
  5-6,50.13,1961.29,0,0,0,0,0,0,0,0,0,45.9,0,0,0,0,0,0,0,0,0,0,92.57,0,0,0,42.04,0,49.5,0,0,0,0,0,0,0,0,0
  7-9,55.86,36.55,73.86,0,0,207.71,0,0,0,0,0,95.14,0,0,0,0,0,0,0,0,0,0,1506.9,67.35,0,0,494.8,0,0,7.78,0,0,0,0,0,0,0,0
 10-12,0,60.25,44.75,0,10.62,153.32,0,0,0,0,0,29.78,0,0,0,0,0,0,0,0,0,0,1055,31.67,0,0,424.4,0,0,0,0,48.01,0,0,0,0,0,0
 14-21,0,0,1.87,20.82,4.29,4.86,0,0,0,3.39,0.91,0.99,0,1.32,0,0,0,0,2.22,11.12,0,8.18,129.96,12.36,0,6.34,2.87,0,0,1.8,24.59,2.67,2,13.16,48.47,3.14,0,0
 24-34,0,0,0,4.81,2.45,18.51,0,2.55,0,3.02,0,0,0.69,4.11,1.07,0.63,0,4.37,0,11.18,0,3.64,195.78,1.46,0,1.34,0,0,3.57,0,0,0,0.76,2.64,24.96,0.87,0,0
 36-46,0,0,0,2.74,2.06,32.48,0,0,0,0.82,0,0,0,0,0,0,0,0,9.93,2.46,0,0,76.77,0.65,0.62,0,0,0,21.75,0,0,0,0,0,15.51,0.56,0,0
 48-58,0,0,0,2.72,0,60.74,0,1.1,0.89,8.59,2.4,0,0,0.39,0,0,0,0,0,5.23,0.46,0.4,65.96,0,0.85,0,0,0,0.77,0,0,0,0.98,0,3.35,0,0,1.08
 60-70,0,0,0,1.41,0,47.19,0.65,0,0,0.8,2.86,0,0,3.47,6.34,0,1.55,0,0,8.96,0,0,53.58,0,0,0,0,0,0.82,0,0,0,0,0,4.31,0,0,0
 72-82,0,0,0,2.13,0,30.87,0,0,0,1.77,0,0,0,0,0,0,0,0,0,7.1,0,0.58,45.22,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1.07,0
 84-94,0,0,0,1.73,0,14.83,0,1.8,0,3.74,0,0,0,0.58,0,0,0,0,0,13.57,0,0.65,17.67,0,0,0,0,0,0,0,0,0,0,0,0,1.45,0,0
 96-106,0,0,0,0.66,8.79,5.66,0,0,0.8,3.75,0,0,0,0,0,0,0,0,0,0.63,0,0,5.71,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0
108-118,0,0,0,1.04,0,11.9,0,0,0,2.51,0,0,0,0.66,0,0,0.87,0,0,1.01,0,0,9.2,0,1.41,0,0,3.19,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,1.49,6.1,0,0,5.18,8.16,0,0,0,1.49,0,0,0,0,0,2.03,0,1.36,19.16,0,0,0,0,0,0,0,0,0,0,0,0,14.22,0,0
