stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  5-6,14.22,15.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.61,4.87,0,0,0,0,0,0,0,0,0,8.19,0,0,0,0,0,0,0,0,0,59.88,0,0,22.95,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,10.46,0,42.62,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,54.1,19.25,0,33.18,0,0,0,0,0,3.11,0,0,0,0,0
 14-21,0,0,0,0,23.39,8.56,0,1.75,0,0,1.19,0,1.07,0,0,0,0,0,0,0,0,7.93,16.1,0,0,0,3.32,1.05,0,1.23,9.28,3.35,0,0,5.78,0
 24-34,0,0,0,0,5.35,0,0,1.37,0,0,0,0,0,0,1.45,0,0,0,0,0,1.14,12.85,1.86,0,0,0,9.5,0,0,0,2.75,1.93,0,0,19.66,0
 36-46,0,0,0,0,0,0,0,4.66,1.17,0,0,0,10.4,0,0,0,0,1.07,0,0,0,26.83,0,0,0,0,14.33,0,0,0,0,1.19,0,0,15.63,0
 48-58,0,0,0,0,0.46,0,0,1.94,0,0,0,0,0,0,3.63,0.5,0,1.55,0,0,0,3.62,0,0,0,0,0.42,0,0,0,0,0.87,0,0,5.87,0
 60-70,0,0,0,0,3.17,0,0,10.82,0.89,1.09,9.31,0,0,0,0.56,0,9.05,2.3,0,0,0,4.77,1.57,4.76,0,0,0,0,0.68,0,0,0,0,0,6.49,6.6
 72-82,0,0,0,0,2.51,0,0,19.95,0.7,1.55,12.35,0,0.74,0,0.56,0,0,11.68,0,0,0,10.02,0.61,0,0,0,0.64,0,0,0,0,1.56,0,0,7.21,0
 84-94,0,0,0,0,3.8,0,0,6.03,3.49,0,37.56,0,0.78,0,1.83,0,0,2.49,0,0,0,20.79,0,0,0,0,0,0,0,0,0,0,0,1.98,3.71,0
 96-106,0,0,0.95,0,10,1.27,0,26.17,0,9.68,316.26,0,1.03,0,4.26,0,0.73,9.63,0.76,0,0.81,28.9,0,0,0,0,7.62,0,0,0,0,0.67,0.59,0,7.1,3.29
108-118,0,0,0,0,2.02,0,0.56,10.53,1.58,3.45,653.14,0,3.6,0.56,4.64,0,0,14.57,0,0,0.94,48.49,1.2,0,0,0,3.64,0,0,0,0,0,0,0,2.76,1.05
120,0,0,0,0,2.06,8.53,0,8.89,0,41.49,581.68,0,0,0,2.19,0,12.43,8.56,1.49,5.31,0,81.39,1.77,0,0,2.54,0,0,0,0,0,0,0,0,20.14,0
