stage,epidermis,erythrocytes,exocrine.pancreas,eye,glial,heart,ionocyte,iridophores,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,visceral.smooth.muscle
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.32,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,7.78,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,11.37,5.55,0,0,4.25,0,0,0
 24-34,0,0,0,0,0,0,0,0,1.51,0,2.32,0,4.24,0.67,0,0,0,0
 36-46,0,0,0,5.27,0,0.92,0,0,0,0,2.99,0,7.83,0,0,0,0,0
 48-58,0,0,0,3,0,0.52,0,0,0.41,0.64,12.6,0,4.65,0,0,6.78,1.24,0
 60-70,0,0,0,13.04,0,0,0,0,0,0,30.1,0,6.11,1.31,0,0,3.24,0
 72-82,0,0,0,36.39,3.06,0.9,0,0,0.88,0,77.21,0,16.94,1.8,0,0,1.06,0.76
 84-94,0.57,0,0,11.2,0,0,0,0,1.17,0,64.8,0,1.62,1.3,0,0,4.8,0
 96-106,1.36,0,1,19.65,3.96,0,0.76,0.75,5.25,0,62.13,0,17.69,0,0,5.9,0,0
108-118,0,0,0,18.22,0.55,0,0,0,1.04,0,54.07,0,3.92,2.33,0,0,0,0
120,0,2.59,0,62.61,0,0,0,0,11.48,2.15,166.36,0,30.04,4.71,0,0,0,0
