stage,blastomeres,epidermis,eye,glial,hatching.gland,mesenchyme,mucous,muscle,neural,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord
  3-4,76.09,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,35.34,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.5,0,0,0,0,0,68.72,18.92,0,0,0,0
 10-12,9.87,0,5,0,8.69,0,0,0,92.69,65.93,0,5.8,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.06,0,0.81,0
 24-34,0,0,0,0,0,0,0,0,14.68,0,0,0,0,1.46
 36-46,0,0,2.55,1.37,0,0.86,0,0.69,25.31,0,0,0,0,1.58
 48-58,0,0,1.04,0.42,0,0,0.52,0,24.74,0,0,0,0,7.66
 60-70,0,0,7.63,0,0,0,0,0,16.18,0,0,0,0,2.49
 72-82,0,0,3.39,0.9,0,3.08,0,0,10.2,0,1.7,0,0,2.31
 84-94,0,0,1.27,0,0,0,0,0,2.53,0,0,0,0,0
 96-106,0,1.18,4.94,2.33,0,3.08,0,0,13.27,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,2.36,0,0,0,0,0
120,0,1.63,0,0,0,0,0,0,0,0,0,0,0,0
